HypsoPerc,HypsoAlt
0,0
1,7.80999994277954
2,11.0299997329712
3,14.1499996185303
4,18.75
5,25.9300003051758
6,32.1199989318848
7,37.75
8,43
9,48.2900009155273
10,54.2999992370605
11,60.3300018310547
12,66.3000030517578
13,72.0199966430664
14,77.4400024414062
15,82.2300033569336
16,86.5999984741211
17,90.7399978637695
18,94.6500015258789
19,97.8399963378906
20,100.889999389648
21,103.830001831055
22,106.48999786377
23,109.099998474121
24,111.529998779297
25,113.98999786377
26,116.389999389648
27,118.889999389648
28,121.199996948242
29,123.690002441406
30,126.139999389648
31,128.880004882812
32,131.5
33,134.470001220703
34,137.509994506836
35,140.779998779297
36,144.320007324219
37,147.800003051758
38,151.429992675781
39,155.339996337891
40,159.820007324219
41,164.589996337891
42,169.740005493164
43,174.369995117188
44,179.419998168945
45,185.020004272461
46,190.570007324219
47,196.600006103516
48,203.110000610352
49,209.910003662109
50,216.869995117188
51,223.990005493164
52,231.119995117188
53,239.059997558594
54,247.440002441406
55,257.049987792969
56,267.480010986328
57,278.890014648438
58,290.790008544922
59,304.559997558594
60,319.540008544922
61,335.920013427734
62,348
63,364.519989013672
64,382.049987792969
65,400.119995117188
66,419.109985351562
67,431.230010986328
68,448.549987792969
69,464.709991455078
70,479.980010986328
71,495.399993896484
72,510.720001220703
73,525.690002441406
74,541.690002441406
75,558.380004882812
76,574.690002441406
77,590.039978027344
78,604.609985351562
79,618.969970703125
80,633.72998046875
81,649.450012207031
82,665.580017089844
83,682.390014648438
84,699.179992675781
85,715.679992675781
86,732.580017089844
87,749.940002441406
88,768.130004882812
89,787.330017089844
90,806.919982910156
91,827.940002441406
92,852.200012207031
93,878.890014648438
94,907.419982910156
95,935.02001953125
96,961.869995117188
97,993.239990234375
98,1034.69995117188
99,1093.65002441406
100,1696.57995605469
