HypsoPerc,HypsoAlt
0,162.199996948242
1,384.899993896484
2,440.399993896484
3,460.760009765625
4,472.239990234375
5,481.549987792969
6,490.390014648438
7,498.339996337891
8,505.799987792969
9,513.900024414062
10,522.510009765625
11,531.369995117188
12,540.52001953125
13,549.859985351562
14,559.210021972656
15,568.489990234375
16,577.530029296875
17,586.869995117188
18,596.099975585938
19,605.070007324219
20,614.239990234375
21,623.289978027344
22,632.330017089844
23,641.590026855469
24,651.349975585938
25,661.090026855469
26,670.52001953125
27,679.619995117188
28,688.549987792969
29,697.409973144531
30,706.119995117188
31,714.929992675781
32,723.72998046875
33,732.330017089844
34,740.909973144531
35,749.570007324219
36,758.039978027344
37,766.450012207031
38,775.140014648438
39,783.739990234375
40,792.380004882812
41,800.880004882812
42,809.440002441406
43,818.030029296875
44,826.880004882812
45,836.02001953125
46,845.340026855469
47,854.710021972656
48,864.130004882812
49,873.590026855469
50,883.010009765625
51,892.460021972656
52,902.190002441406
53,912.039978027344
54,922.109985351562
55,932.099975585938
56,942.159973144531
57,952.349975585938
58,962.640014648438
59,973.150024414062
60,983.849975585938
61,995.47998046875
62,1007.78002929688
63,1020.46997070312
64,1033.66003417969
65,1047.66003417969
66,1062.32995605469
67,1077.7900390625
68,1094.46997070312
69,1111.80004882812
70,1129.89001464844
71,1149.56994628906
72,1170.63000488281
73,1193.28002929688
74,1217.28002929688
75,1242.01000976562
76,1267.59997558594
77,1293.66003417969
78,1320.66003417969
79,1349.4599609375
80,1380.68005371094
81,1414.68005371094
82,1449.85998535156
83,1485.38000488281
84,1521.88000488281
85,1558.80004882812
86,1597.7900390625
87,1638.23999023438
88,1682.68994140625
89,1728.7099609375
90,1776.71997070312
91,1827.44995117188
92,1878.41003417969
93,1934.4599609375
94,2007.56994628906
95,2106.40991210938
96,2206.52001953125
97,2310.580078125
98,2414.01000976562
99,2532.73999023438
100,2909.48999023438
