HypsoPerc,HypsoAlt
0,676.159973144531
1,743.950012207031
2,776.280029296875
3,800.330017089844
4,820.400024414062
5,837.27001953125
6,852.52001953125
7,866.650024414062
8,879.619995117188
9,891.799987792969
10,904.22998046875
11,916.469970703125
12,928.789978027344
13,941.169982910156
14,953.539978027344
15,965.659973144531
16,977.830017089844
17,989.780029296875
18,1001.80999755859
19,1013.58001708984
20,1024.98999023438
21,1036.56005859375
22,1048.31994628906
23,1060.36999511719
24,1072.2900390625
25,1084.2099609375
26,1096.33996582031
27,1108.36999511719
28,1120.28002929688
29,1132.15002441406
30,1144.19995117188
31,1156.2900390625
32,1168.53002929688
33,1180.86999511719
34,1193.57995605469
35,1206.36999511719
36,1219.18994140625
37,1231.92004394531
38,1244.81005859375
39,1257.7900390625
40,1270.73999023438
41,1283.73999023438
42,1296.61999511719
43,1309.56005859375
44,1322.69995117188
45,1336.33996582031
46,1350.10998535156
47,1364.38000488281
48,1379.08996582031
49,1394.22998046875
50,1409.31005859375
51,1424.21997070312
52,1439.23999023438
53,1454.06005859375
54,1468.71997070312
55,1483.4599609375
56,1498.25
57,1512.69995117188
58,1527.09997558594
59,1541.40002441406
60,1555.72998046875
61,1570.43005371094
62,1585.41003417969
63,1600.81005859375
64,1616.03002929688
65,1631.2900390625
66,1647.86999511719
67,1664.38000488281
68,1681.60998535156
69,1698.90002441406
70,1716.05004882812
71,1733.5
72,1751.18005371094
73,1769.40002441406
74,1788.55004882812
75,1807.40002441406
76,1826.56005859375
77,1846.16003417969
78,1865.14001464844
79,1883.98999023438
80,1904.17004394531
81,1925.93994140625
82,1950.34997558594
83,1977.32995605469
84,2006.69995117188
85,2041.02001953125
86,2079.580078125
87,2118.669921875
88,2157.47998046875
89,2194.88989257812
90,2229.60009765625
91,2269.5400390625
92,2310.07006835938
93,2349.76000976562
94,2387.97998046875
95,2426.89990234375
96,2467.77001953125
97,2514.07006835938
98,2575.02001953125
99,2656.97998046875
100,2909.48999023438
