iter	RMSE
0	18.08756282
1	16.93827561
2	16.12014328
3	15.27246774
4	14.44870804
5	13.85694963
6	13.20109816
7	12.42490133
8	11.99681595
9	11.49226427
10	10.99623086
11	10.61478037
12	10.19065971
13	9.734684965
14	9.368723386
15	8.987842941
16	8.692109336
17	8.327068251
18	8.096923261
19	7.830218001
20	7.49223243
21	7.319052559
22	7.095484165
23	6.847149683
24	6.703273598
25	6.530922055
26	6.398055934
27	6.244934104
28	6.112896741
29	5.909938043
30	5.805847315
31	5.699546974
32	5.591469853
33	5.503198933
34	5.393272747
35	5.24131216
36	5.08958813
37	5.018116829
38	4.936261998
39	4.868170402
40	4.821191244
41	4.728255285
42	4.676783012
43	4.552789482
44	4.460816139
45	4.399447845
46	4.303372358
47	4.226719934
48	4.187189588
49	4.092426066
50	4.036922589
51	3.956981369
52	3.874708885
53	3.774923816
54	3.703050812
55	3.660467635
56	3.589810052
57	3.533010471
58	3.473805614
59	3.367177957
60	3.297900618
61	3.262700536
62	3.190462356
63	3.15607912
64	3.12158311
65	3.055956424
66	2.97133133
67	2.923493682
68	2.863114349
69	2.800227485
70	2.749776231
71	2.699940781
72	2.632926171
73	2.603584399
74	2.570060192
75	2.506279177
76	2.478899281
77	2.447122397
78	2.41569806
79	2.381315704
80	2.357913182
81	2.301310259
82	2.266150447
83	2.23688318
84	2.211880215
85	2.170240226
86	2.148043529
87	2.116820836
88	2.099229539
89	2.045184922
90	2.017826979
91	1.999923048
92	1.971981018
93	1.944466387
94	1.921231683
95	1.886974122
96	1.870125301
97	1.829295681
98	1.796802802
99	1.776392034
100	1.760774528
101	1.741180622
102	1.727915153
103	1.700224361
104	1.682356094
105	1.654210166
106	1.642665295
107	1.61589521
108	1.583522562
109	1.561362269
110	1.549159987
111	1.523946899
112	1.510855793
113	1.483481687
114	1.470811689
115	1.444847277
116	1.428477405
117	1.418796429
118	1.3987818
119	1.385738024
120	1.359548722
121	1.348602304
122	1.338492204
123	1.32133079
124	1.311664928
125	1.296102142
126	1.273869754
127	1.259987141
128	1.240407276
129	1.228002722
130	1.206884999
131	1.188782504
132	1.175392099
133	1.15914089
134	1.142471338
135	1.13039039
136	1.12169476
137	1.111444417
138	1.101774361
139	1.089982898
140	1.079435479
141	1.06236417
142	1.048532177
143	1.037689308
144	1.0252157
145	1.011096667
146	1.003698062
147	0.9931040629
148	0.9838657973
149	0.972439186
150	0.9597222993
151	0.9496578644
152	0.9391491078
153	0.9310977503
154	0.9242770027
155	0.9127114731
156	0.9000745717
157	0.8897641228
158	0.8793093397
159	0.8680127509
160	0.8591388769
161	0.850739214
162	0.8405516728
163	0.8311854361
164	0.8254499124
165	0.8135221085
166	0.805605642
167	0.795445666
168	0.7760356358
169	0.768405517
170	0.7628400451
171	0.7515994385
172	0.7448365707
173	0.7281961827
174	0.7126202869
175	0.7030329303
176	0.6978792586
177	0.6875091584
178	0.6767987313
179	0.6697806005
180	0.660170642
181	0.6555233752
182	0.6447286497
183	0.6358287931
184	0.6235998128
185	0.6185358271
186	0.6120632941
187	0.6050885544
188	0.6015043708
189	0.5952694463
190	0.5845491925
191	0.5792904763
192	0.5763439933
193	0.5718650337
194	0.5626086708
195	0.559637355
196	0.555412009
197	0.5507036907
198	0.5483362105
199	0.5442178741
200	0.5385661942
201	0.5297009183
202	0.5261175133
203	0.5221572827
204	0.517021098
205	0.5139393841
206	0.5053702801
207	0.4992033701
208	0.4958298367
209	0.4928403586
210	0.489145496
211	0.4845663266
212	0.4800757573
213	0.477154425
214	0.4694287702
215	0.4671169584
216	0.4601022578
217	0.4558820145
218	0.450935915
219	0.4492507018
220	0.4462571701
221	0.4398364126
222	0.4364386615
223	0.4302620005
224	0.4277040787
225	0.4251415524
226	0.4213971601
227	0.4158704787
228	0.4108965563
229	0.4085349661
230	0.4073494629
231	0.4064065391
232	0.4034824163
233	0.4000908431
234	0.3963898225
235	0.3941562012
236	0.3918751799
237	0.3870744039
238	0.3857748002
239	0.3836751299
240	0.3806509408
241	0.3771702266
242	0.372673651
243	0.3642037955
244	0.3603930165
245	0.3551733819
246	0.3532238552
247	0.3507688049
248	0.3472155312
249	0.3421449756
250	0.3377071805
251	0.331767991
252	0.3265525488
253	0.3239462316
254	0.3221726776
255	0.3200581488
256	0.3175854718
257	0.314021174
258	0.3109451666
259	0.3084573998
260	0.3049787856
261	0.3030634935
262	0.3013985014
263	0.3004308255
264	0.2986856331
265	0.2981375272
266	0.2968312304
267	0.2925163681
268	0.289577045
269	0.2858249085
270	0.281809684
271	0.2812591697
272	0.2807005514
273	0.2795136119
274	0.276744379
275	0.2737940909
276	0.2702756174
277	0.2688570809
278	0.2642430984
279	0.2586538482
280	0.2561583359
281	0.2549180723
282	0.2514617481
283	0.2464476996
284	0.2433290082
285	0.2391621628
286	0.2365186907
287	0.2341050367
288	0.2311249558
289	0.2272424228
290	0.2243149265
291	0.2229140907
292	0.2197748261
293	0.2180853974
294	0.2168159242
295	0.214463096
296	0.2116007434
297	0.2089879048
298	0.2075123388
299	0.204623009
300	0.2032782538
301	0.2020561347
302	0.2008725499
303	0.1996599447
304	0.1986023032
305	0.1962216748
306	0.1951990871
307	0.1919842162
308	0.1903885362
309	0.189920248
310	0.1888401011
311	0.1868273254
312	0.1853570499
313	0.1849538194
314	0.1834253222
315	0.1825685536
316	0.1816316864
317	0.1795665679
318	0.1782557931
319	0.1769836223
320	0.1742337429
321	0.1723679513
322	0.1697928539
323	0.1669985506
324	0.1642223393
325	0.1624454727
326	0.1597433018
327	0.1575007155
328	0.1553094979
329	0.1537779033
330	0.15218165
331	0.1512681369
332	0.1498092167
333	0.1482671243
334	0.1467825379
335	0.145663959
336	0.1443157866
337	0.1436189095
338	0.1422640342
339	0.1413442119
340	0.139572883
341	0.1375217556
342	0.1369308123
343	0.1350532696
344	0.1344327894
345	0.1320917058
346	0.1310980427
347	0.1296909503
348	0.1285667841
349	0.1280621246
350	0.1259074713
351	0.124559652
352	0.1241966979
353	0.1237120447
354	0.1223433453
355	0.1206379664
356	0.1202086292
357	0.119121175
358	0.1183865913
359	0.1173428088
360	0.1167628243
361	0.1157828682
362	0.1151402975
363	0.11388876
364	0.1132701016
365	0.1123708807
366	0.1106836134
367	0.1095697414
368	0.1092103718
369	0.1086417777
370	0.1063364095
371	0.1050244414
372	0.1041864721
373	0.1029776284
374	0.1021330055
375	0.1010766423
376	0.1001581299
377	0.09935993798
378	0.09835529926
379	0.097768914
380	0.09598444002
381	0.09549930946
382	0.09476453824
383	0.09294812888
384	0.0906677026
385	0.08994478243
386	0.08870283288
387	0.08803506409
388	0.08760495137
