iter	Passed	Remaining
0	0	150
1	0	119
2	0	101
3	0	90
4	0	85
5	1	82
6	1	80
7	1	77
8	1	76
9	1	75
10	1	73
11	1	77
12	2	86
13	2	92
14	2	96
15	3	100
16	3	101
17	3	103
18	4	105
19	4	106
20	4	107
21	4	107
22	5	108
23	5	108
24	5	110
25	6	110
26	6	107
27	6	104
28	6	102
29	6	100
30	6	98
31	6	96
32	6	94
33	6	93
34	6	91
35	6	90
36	7	88
37	7	87
38	7	85
39	7	84
40	7	83
41	7	81
42	7	81
43	7	80
44	7	79
45	7	78
46	8	77
47	8	76
48	8	75
49	8	75
50	8	74
51	8	73
52	8	72
53	8	72
54	8	71
55	8	70
56	9	70
57	9	69
58	9	69
59	9	68
60	9	68
61	9	67
62	9	67
63	9	66
64	9	66
65	9	65
66	10	65
67	10	64
68	10	64
69	10	63
70	10	63
71	10	62
72	10	62
73	10	61
74	10	61
75	10	61
76	11	60
77	11	60
78	11	59
79	11	59
80	11	59
81	11	58
82	11	58
83	11	57
84	11	57
85	11	57
86	11	56
87	12	56
88	12	56
89	12	55
90	12	55
91	12	55
92	12	54
93	12	54
94	12	54
95	12	53
96	12	53
97	13	53
98	13	53
99	13	52
100	13	52
101	13	52
102	13	52
103	13	51
104	13	51
105	13	51
106	13	51
107	13	50
108	14	50
109	14	50
110	14	50
111	14	49
112	14	49
113	14	49
114	14	49
115	14	48
116	14	48
117	14	48
118	15	48
119	15	48
120	15	47
121	15	47
122	15	47
123	15	47
124	15	46
125	15	46
126	15	46
127	15	46
128	16	46
129	16	45
130	16	45
131	16	45
132	16	45
133	16	45
134	16	44
135	16	44
136	16	44
137	16	44
138	16	44
139	17	43
140	17	43
141	17	43
142	17	43
143	17	43
144	17	42
145	17	42
146	17	42
147	17	42
148	17	42
149	17	41
150	18	41
151	18	41
152	18	41
153	18	41
154	18	41
155	18	40
156	18	40
157	18	40
158	18	40
159	18	40
160	19	40
161	19	40
162	19	39
163	19	39
164	19	39
165	19	39
166	19	39
167	19	39
168	19	38
169	19	38
170	20	38
171	20	38
172	20	38
173	20	38
174	20	38
175	20	37
176	20	37
177	20	37
178	20	37
179	20	37
180	21	37
181	21	37
182	21	36
183	21	36
184	21	36
185	21	36
186	21	36
187	21	36
188	21	35
189	21	35
190	22	35
191	22	35
192	22	35
193	22	35
194	22	35
195	22	34
196	22	34
197	22	34
198	22	34
199	22	34
200	23	34
201	23	34
202	23	33
203	23	33
204	23	33
205	23	33
206	23	33
207	23	33
208	23	33
209	23	32
210	23	32
211	24	32
212	24	32
213	24	32
214	24	32
215	24	32
216	24	32
217	24	31
218	24	31
219	24	31
220	24	31
221	25	31
222	25	31
223	25	31
224	25	30
225	25	30
226	25	30
227	25	30
228	25	30
229	25	30
230	25	30
231	25	30
232	26	29
233	26	29
234	26	29
235	26	29
236	26	29
237	26	29
238	26	29
239	26	28
240	26	28
241	26	28
242	26	28
243	27	28
244	27	28
245	27	28
246	27	28
247	27	27
248	27	27
249	27	27
250	27	27
251	27	27
252	27	27
253	27	27
254	28	26
255	28	26
256	28	26
257	28	26
258	28	26
259	28	26
260	29	26
261	29	26
262	29	26
263	29	26
264	29	26
265	29	26
266	30	26
267	30	26
268	30	26
269	30	26
270	30	26
271	30	25
272	31	25
273	31	25
274	31	25
275	31	25
276	31	25
277	31	25
278	32	25
279	32	25
280	32	25
281	32	25
282	32	25
283	32	25
284	33	24
285	33	24
286	33	24
287	33	24
288	33	24
289	33	24
290	33	24
291	34	24
292	34	24
293	34	24
294	34	24
295	34	23
296	34	23
297	35	23
298	35	23
299	35	23
300	35	23
301	35	23
302	35	23
303	35	23
304	36	23
305	36	22
306	36	22
307	36	22
308	36	22
309	36	22
310	36	22
311	37	22
312	37	22
313	37	22
314	37	22
315	37	21
316	37	21
317	37	21
318	38	21
319	38	21
320	38	21
321	38	21
322	38	21
323	38	21
324	38	20
325	39	20
326	39	20
327	39	20
328	39	20
329	39	20
330	39	20
331	40	20
332	40	20
333	40	20
334	40	19
335	40	19
336	40	19
337	41	19
338	41	19
339	41	19
340	41	19
341	41	19
342	41	19
343	41	18
344	41	18
345	42	18
346	42	18
347	42	18
348	42	18
349	42	18
350	42	18
351	42	18
352	43	17
353	43	17
354	43	17
355	43	17
356	43	17
357	43	17
358	43	17
359	43	17
360	44	16
361	44	16
362	44	16
363	44	16
364	44	16
365	44	16
366	44	16
367	44	16
368	45	16
369	45	15
370	45	15
371	45	15
372	45	15
373	45	15
374	45	15
375	45	15
376	46	15
377	46	14
378	46	14
379	46	14
380	46	14
381	46	14
382	46	14
383	46	14
384	47	14
385	47	13
386	47	13
387	47	13
388	47	13
389	47	13
390	47	13
391	47	13
392	47	13
393	48	12
394	48	12
395	48	12
396	48	12
397	48	12
398	48	12
399	48	12
400	48	12
401	48	11
402	49	11
403	49	11
404	49	11
405	49	11
406	49	11
407	49	11
408	49	11
409	49	10
410	50	10
411	50	10
412	50	10
413	50	10
414	50	10
415	50	10
416	50	10
417	50	9
418	50	9
419	51	9
420	51	9
421	51	9
422	51	9
423	51	9
424	51	9
425	51	8
426	51	8
427	51	8
428	52	8
429	52	8
430	52	8
431	52	8
432	52	8
433	52	7
434	52	7
435	52	7
436	52	7
437	52	7
438	53	7
439	53	7
440	53	7
441	53	7
442	53	6
443	53	6
444	53	6
445	53	6
446	53	6
447	54	6
448	54	6
449	54	6
450	54	5
451	54	5
452	54	5
453	54	5
454	54	5
455	54	5
456	55	5
457	55	5
458	55	4
459	55	4
460	55	4
461	55	4
462	55	4
463	55	4
464	55	4
465	56	4
466	56	3
467	56	3
468	56	3
469	56	3
470	56	3
471	56	3
