date,value
2007/01/24,4.802
2007/02/20,9.262
2007/03/29,3.792
2007/04/16,2.799
2007/05/02,16.268
2007/06/05,8.081
2007/07/05,13.501
2007/08/01,0.328
2007/09/05,7.045
2007/10/03,0.215
2007/11/12,3.637
2007/12/10,3.483
2008/01/09,2.835
2008/02/11,3.513
2008/03/05,2.033
2008/04/10,1.92
2008/05/08,1.061
2008/06/03,6.581
2008/07/30,1.042
2008/08/13,1.809
2008/09/08,1.226
2008/10/01,10.207
2008/11/06,2.841
2008/12/03,3.486
2009/01/21,11.191
2009/02/05,32.657
2009/03/12,37.76
2009/04/06,3.874
2009/05/07,113.352
2009/06/04,5.066
2009/07/02,42.16
2009/08/03,21.8
2009/09/03,44.304
2009/10/08,0.81
2009/11/05,23.046
2009/12/02,17.326
2010/01/13,6.203
2010/02/04,3.881
2010/03/04,6.076
2010/04/14,27.617
2010/05/07,37.702
2010/06/02,7.497
2010/07/01,25.925
2010/08/05,9.813
2010/09/02,23.271
2010/10/14,12.196
2010/11/05,60.212
2010/12/01,6.859
2011/01/12,45.497
2011/02/04,48.925
2011/03/02,7.818
2011/04/06,61.192
2011/05/06,13.376
2011/06/01,16.684
2011/07/06,0.903
2011/08/04,30.833
2011/09/08,87.894
2011/10/05,72.423
2011/11/10,9.514
2011/12/01,65.445
2012/01/11,67.36
2012/03/15,83.778
2012/04/11,33.623
2012/06/22,67.177
2012/07/04,35.928
2012/09/05,6.239
2012/10/03,62.416
2012/12/05,1.584
2013/11/14,21.959
2014/02/17,2.559
2014/06/03,34.761
2014/08/14,6.156
2014/11/27,1.542
2015/02/17,34.553
2015/05/25,21.183
2015/08/20,38.356
2015/11/25,2.524
2016/02/10,2.939
2016/05/18,30.276
2016/07/26,0.15
2016/11/10,2.953
2017/02/22,58.51
2017/05/23,1.27
2017/08/08,4.831
2017/11/28,5.525
2018/02/26,9.771
2018/05/24,12.1
2018/08/21,18.871
2018/11/14,5.751
2022/02/07,41.758
2022/05/10,24.65
2022/08/11,10.606
2022/11/02,7.15
2023/02/15,1.344
2023/05/10,4.87
2023/07/31,12.16
2023/11/08,1.253
2024/03/11,22.429
2024/06/25,11.03
2024/09/10,41.913
2024/12/10,97.415
2025/01/20,45.756
2025/01/20,45.756
