date,value
1994/07/21,0.073594
1994/09/01,0.0527
1994/10/04,5.9551
1994/11/15,0.23002
1994/12/20,0.21328
1995/01/26,0.69998
1995/02/22,2.3002
1995/03/21,4.41626
1995/04/25,0.251038
1995/06/13,2.332254
1995/07/10,0.669476
1997/01/21,0.82677
1997/02/06,6.107558
1997/03/04,9.586192
1997/04/08,1.017482
1997/05/08,1.32153
1997/06/05,21.858782
1997/07/03,2.778592
1997/08/04,1.584534
1997/09/16,0.295802
1997/10/14,2.51348
1997/11/11,0.221464
1997/12/02,0.077438
1998/01/12,1.67958
1998/02/04,1.652548
1998/06/04,0.15593
1998/07/13,0.16399
1998/08/05,5.70152
1998/09/15,7.692278
1998/10/19,1.253392
1998/11/17,0.060884
1998/12/22,0.194122
1999/01/25,0.323516
1999/02/15,1.832224
1999/03/16,0.444044
1999/04/19,0.207328
1999/05/10,1.710022
2006/10/17,0.100192
2006/11/23,0.20739
2006/12/13,0.751192
