date,value
1994/07/21,23.8
1994/09/01,25.2
1994/10/04,19.9
1994/11/15,16.9
1994/12/20,15.2
1995/01/26,13.7
1995/02/22,11.7
1995/03/21,13.3
1995/04/25,13.6
1995/05/18,15.7
1995/06/13,20.1
1995/07/10,22.4
1997/01/21,12.8
1997/02/06,12.1
1997/03/04,15.9
1997/04/08,15.7
1997/05/08,16
1997/06/05,20.1
1997/07/03,18.9
1997/08/04,25
1997/09/16,23.8
1997/10/14,18.1
1997/11/11,17.1
1997/12/02,15.8
1998/01/12,14.4
1998/02/04,12.5
1998/06/04,20.2
1998/07/13,24.6
1998/08/05,22.3
1998/09/15,19.6
1998/10/19,17.7
1998/11/17,13.8
1998/12/22,11.5
1999/01/25,14.1
1999/02/15,9.9
1999/03/16,14.3
1999/04/19,14
1999/05/10,17.9
2006/10/17,19.9
2006/11/23,17.2
2006/12/13,14.8
