date,value
1994/07/21,23.8
1994/09/01,25.2
1994/10/04,19.9
1994/11/15,16.9
1994/12/20,15.2
1995/01/26,13.7
1995/02/22,11.7
1995/03/21,13.3
1995/04/25,13.6
1995/05/18,15.7
1995/06/13,20.1
1995/07/10,22.4
1997/01/21,12.8
1997/02/06,12.1
1997/03/04,15.9
1997/04/08,15.7
1997/05/08,16
1997/06/05,20.1
1997/07/03,18.9
1997/08/04,25
1997/09/16,23.8
1997/10/14,18.1
1997/11/11,17.1
1997/12/02,15.8
1998/01/12,14.4
1998/02/04,12.5
1998/06/04,20.2
1998/07/13,24.6
1998/08/05,22.3
1998/09/15,19.6
1998/10/19,17.7
1998/11/17,13.8
1998/12/22,11.5
1999/01/25,14.1
1999/02/15,9.9
1999/03/16,14.3
1999/04/19,14
1999/05/10,17.9
2006/10/17,19.9
2006/11/23,17.2
2006/12/13,14.8
2007/09/05,19.8
2007/10/03,19.2
2007/11/12,15.2
2007/12/10,13.5
2008/01/09,12.8
2008/02/11,12.8
2008/03/05,10.8
2008/04/10,14.4
2008/05/08,17.9
2008/06/03,19.5
2008/07/30,23.5
2008/08/13,22.7
2008/09/08,22.6
2008/10/01,19.3
2008/11/06,16.6
2008/12/03,12.9
2009/01/21,13.1
2009/02/05,12.4
2009/03/12,13.3
2009/04/06,14.7
2009/05/07,17.4
2009/06/04,21.9
2009/07/02,24.1
2009/08/03,23
2009/09/03,25.3
2009/10/08,21.6
2009/11/05,17.1
2009/12/02,14.9
2010/01/13,12.9
2010/02/04,11.7
2010/03/04,11.8
2010/04/14,13.9
2010/05/07,13.8
2010/06/02,18.2
2010/07/01,23.9
2010/08/05,23.7
2010/09/02,22.7
2010/10/14,17.5
2010/11/05,16.6
2010/12/01,14.9
2011/01/12,11.6
2011/02/04,10.1
2011/03/02,11.7
2011/04/06,15.8
2011/05/06,18.4
2011/06/01,17.8
2011/07/06,23.2
2011/08/04,24
2011/09/08,24
2011/10/05,21.8
2011/11/10,17.8
2011/12/01,15.4
2012/01/11,12.2
2012/03/15,14.2
2012/04/11,15.6
2012/06/22,23.8
2012/07/04,24
2012/09/05,22
2012/10/03,19.8
2012/12/05,13.4
2013/02/19,12.6
2013/05/29,16.2
2013/08/21,23.5
2013/11/14,16.3
2014/02/17,13.2
2014/06/03,19.6
2014/08/14,23.6
2014/11/27,17.8
2015/02/17,11.7
2015/04/14,16.9
2015/05/25,18.3
2015/06/22,24.4
2015/07/21,27
2015/08/20,24.8
2015/11/25,15.1
2016/02/10,13.6
2016/05/18,19
2016/07/26,25
2016/11/10,16.8
2017/02/22,13.2
2017/04/05,14.8
2017/05/23,19.6
2017/06/26,25
2017/08/08,22.6
2017/10/25,18.9
2017/11/28,14.4
2017/12/05,12.1
2018/02/26,12
2018/05/24,20.4
2018/08/21,27
2018/11/14,18.9
2022/02/07,12.6
2022/05/10,20.3
2022/08/11,28.5
2022/11/02,20.6
2023/02/15,13.7
2023/05/10,21.2
2023/07/04,26.9
2023/07/31,28.1
2023/09/05,24.7
2023/11/08,17.8
2023/11/14,17.8
2024/03/11,14.2
2024/06/25,24.3
2024/09/10,22.6
2024/12/10,8.7
