date,value
2007/01/23,12.3
2007/02/05,14.3
2007/03/12,16
2007/04/11,11.5
2007/05/22,7.8
2007/06/05,6.3
2007/07/03,5.6
2007/08/20,10.5
2007/09/19,10.5
2007/10/30,14.7
2007/11/12,16.4
2007/12/11,10.6
2008/01/22,10.9
2008/02/04,13.7
2008/03/10,9
2008/04/09,4.9
2008/05/26,4.9
2008/06/02,4.9
2008/07/07,6.4
2008/08/18,7.6
2008/09/22,4.9
2008/10/28,6.3
2008/11/10,10.2
2008/12/15,11.8
2009/01/21,12.7
2009/02/02,10.9
2009/03/09,12.2
2009/04/14,7.8
2009/05/25,10.2
2009/06/02,9.1
2009/07/06,10.5
2009/08/17,8.3
2009/09/28,14.4
2009/10/27,9.6
2009/11/09,12.2
2009/12/15,11.8
2010/01/20,14.9
2010/02/01,26.5
2010/03/09,17
2010/04/13,7.7
2010/05/25,6.5
2010/06/01,4.9
2010/07/06,9.6
2010/08/17,10.4
2010/09/27,11.2
2010/10/26,8.9
2010/11/09,9.8
2010/12/21,10.6
2011/01/18,9.9
2011/02/01,13.7
2011/03/08,14.7
2011/04/11,10.1
2011/05/24,7.8
2011/06/28,8.8
2011/07/05,11.7
2011/08/16,6.3
2011/09/26,10.6
2011/10/26,10.6
2011/11/09,16.7
2011/12/20,18.9
2013/01/23,11.8
2013/04/15,20.9
2013/07/09,23.3
2013/10/31,9.2
2014/01/23,9
2014/04/14,8.5
2014/07/07,4.9
2014/10/14,7.6
2015/01/19,12.5
2015/04/15,13.7
2015/07/07,6.8
2015/10/26,10.8
2016/01/26,13.8
2016/04/11,7.7
2016/07/04,5.5
2016/10/17,9.7
2017/01/23,5.8
2017/04/24,8.7
2017/07/06,12
2017/10/30,7.2
2018/01/24,11.2
2018/04/09,8.9
2018/07/05,8.2
2018/11/07,8.2
2019/01/07,21.9
2019/04/02,10.7
2019/07/09,11.5
2019/10/02,13.1
2020/01/20,10.3
2020/07/08,12.5
2020/10/06,7.8
2021/01/19,11
2021/04/26,9.1
2021/07/21,8.7
2021/10/18,9.2
2022/01/18,6.4
2022/04/27,8.1
2022/07/12,6.4
2022/10/05,25.7
2023/01/23,9.2
2023/04/27,5.1
2023/07/11,4.9
2023/10/17,12.2
2024/01/29,7.7
2024/04/22,4.9
2024/07/22,5.5
2024/10/21,8.7
2025/02/18,10.8
2025/05/28,10.4
