date,value
2007/01/23,12.1
2007/02/05,11.5
2007/03/12,14
2007/04/11,16
2007/05/22,25
2007/06/05,23
2007/07/03,28
2007/08/20,21
2007/09/19,21
2007/10/30,13
2007/11/12,11.2
2007/12/11,8
2008/01/22,10
2008/02/04,11
2008/03/10,11.2
2008/04/09,17.9
2008/05/26,22
2008/06/02,23
2008/07/07,25
2008/08/18,25
2008/09/22,20
2008/10/28,15
2008/11/10,14
2008/12/15,8
2009/01/21,10
2009/02/02,11
2009/03/09,13
2009/04/14,14
2009/05/25,23
2009/06/02,22
2009/07/06,25
2009/08/17,25
2009/09/28,21
2009/10/27,17
2009/11/09,11
2009/12/15,9
2010/01/20,9
2010/02/01,8
2010/03/09,9
2010/04/13,14
2010/05/25,21
2010/06/01,20
2010/07/06,22
2010/08/17,21
2010/09/27,18
2010/10/26,16
2010/11/09,14
2010/12/21,8
2011/01/18,10
2011/02/01,8
2011/03/08,13
2011/04/11,18
2011/05/24,22
2011/06/28,26
2011/07/05,27
2011/08/16,25
2011/09/26,21
2011/10/26,17
2011/11/09,16
2011/12/20,9
2012/01/23,8
2012/02/29,13
2012/03/07,11
2012/04/17,13
2012/05/30,23
2012/06/27,26
2012/07/03,23
2012/08/20,22
2012/09/24,22
2012/10/24,19
2012/11/07,13
2012/12/12,6
2013/01/23,7
2013/04/15,19
2013/07/09,20
2013/10/31,16
2014/01/23,9
2014/04/14,19
2014/07/07,22
2014/10/14,19
2015/01/19,10
2015/04/15,17
2015/07/07,27
2015/10/26,15
2016/01/26,10
2016/04/11,16
2016/07/04,25
2016/10/17,16
2017/01/23,8
2017/04/24,18
2017/07/06,20
2017/10/30,14
2018/01/24,9
2018/04/09,15
2018/07/05,25
2018/11/07,16
2019/01/07,7
2019/04/02,15
2019/07/09,24
2019/10/02,21
2020/01/20,7
2020/02/25,9
2020/03/25,12
2020/06/15,11
2020/07/08,29
2020/07/28,27.6
2020/08/12,18.4
2020/09/01,16
2020/10/06,17
2020/10/21,17
2020/11/23,15
2020/12/14,12.1
2021/01/19,9
2021/01/20,10
2021/02/24,10.7
2021/03/23,12.1
2021/04/26,12
2021/04/26,17
2021/05/18,14.1
2021/06/09,14.7
2021/07/19,15
2021/07/21,26
2021/08/24,15.1
2021/09/28,15.3
2021/10/18,13.9
2021/10/18,17.3
2021/11/22,12
2021/12/15,9.6
2022/01/18,4.4
2022/01/19,6.4
2022/02/15,8.9
2022/03/15,10.9
2022/04/27,12
2022/04/27,17
2022/05/17,14.8
2022/06/21,14.3
2022/07/12,27.5
2022/07/13,14
2022/08/24,18
2022/09/14,20.9
2022/10/05,17
2022/10/05,19.4
2022/11/23,12
2022/12/19,11.8
2023/01/23,7
2023/01/23,4.1
2023/02/22,10
2023/03/21,12.8
2023/04/27,14
2023/04/27,20
2023/05/24,14
2023/06/13,15
2023/07/11,28.7
2023/07/12,18.6
2023/08/03,19.5
2023/09/20,18.3
2023/10/17,18.4
2023/10/17,20.9
2023/11/28,11.9
2023/12/13,10.2
2024/01/29,7.7
2024/01/29,10.2
2024/02/27,9.6
2024/03/19,14.7
2024/04/22,17.1
2024/04/23,12.9
2024/05/20,16.1
2024/06/17,18.4
2024/07/22,24.6
2024/07/23,17.7
2024/08/29,20.4
2024/09/25,18.1
2024/10/21,18.1
2024/10/22,16.8
2024/11/27,12.7
2024/12/11,10.4
2025/02/18,11.7
2025/05/28,24.1
