date,value
1995/10/23,11.47
1995/11/14,8.21
1995/12/18,6.65
1996/01/29,6.81
1996/02/12,10.59
1996/03/25,13.51
1996/04/22,6.5
1996/05/06,7.9
1996/06/19,6.9
1996/07/08,4.9
1996/08/13,4.4
1996/09/16,8.7
1996/10/14,10.6
1996/11/26,2.8
1996/12/17,9.4
1997/01/27,15.7
1997/02/11,14.9
1997/03/17,14.2
1997/04/09,6.3
1997/05/26,4.3
1997/06/04,9
1997/07/09,10.5
1997/08/26,5.1
1997/09/17,6.9
1997/10/14,9.3
1997/11/11,10.8
1997/12/23,7.6
1998/01/13,11.3
1998/02/17,15.2
1998/03/30,20.4
1998/04/29,11.6
1998/05/05,8.2
1998/06/22,4
1998/07/13,2
1998/08/05,7
1998/09/29,9
1998/10/21,12
1998/11/23,12
1998/12/16,12
1999/01/12,4
1999/02/01,17
1999/03/09,14
1999/04/21,14
1999/05/26,7
1999/06/09,4
1999/07/21,4
1999/08/25,4
1999/09/06,12
1999/10/25,13
1999/11/29,16
1999/12/13,16
2000/01/24,15
2000/02/14,15
2000/03/06,12
2000/04/10,14
2000/05/08,7
2000/06/26,4
2000/07/10,8
2000/08/07,3
2000/09/18,6
2000/10/23,10
2000/11/13,12
2000/12/18,13
2001/10/22,11.8
2001/11/05,10.5
2001/12/10,16.4
2002/01/14,17
2002/02/25,17
2002/03/18,11.4
2002/04/15,10
2002/05/27,15.5
2002/06/17,10.6
2002/07/01,11.3
2002/08/26,7.5
2002/09/16,12.7
2002/10/21,14.4
2002/11/04,17.7
2003/01/22,18.2
2003/02/09,19.3
2003/02/17,18.3
2003/03/26,10.6
2003/04/07,13.8
2003/05/26,14.4
2003/06/30,6.9
2003/07/16,5.3
2003/08/04,8.9
2003/09/08,10.7
2003/10/20,9.3
2003/11/25,10.3
2003/12/15,9.9
2004/01/19,18.7
2004/02/17,29.7
2004/03/23,17.2
2004/04/28,13.3
2004/05/10,17.5
2004/06/28,15.4
2004/07/14,13.5
2004/08/23,10.9
2004/09/15,7.3
2004/10/06,9.5
2004/11/15,5.9
2004/12/20,15.7
2005/01/25,21.4
2005/02/21,19.9
2005/03/16,22.6
2005/04/13,17.2
2005/05/23,8
2005/06/20,4.5
2005/07/27,4.2
2005/08/30,5.4
2005/09/27,11.2
2005/10/31,17.2
2005/11/28,23.8
2005/12/21,23.3
2006/01/24,22.8
2006/02/14,22.1
2006/03/14,19.7
2006/04/19,15.9
2006/05/22,9.1
2006/06/13,5.5
2006/07/11,6
2006/08/14,9.9
2006/09/12,10.9
2006/10/10,15.5
2006/11/13,20
2006/12/11,16.4
