date,value
2007/07/01,2.6278
2007/07/02,2.8291
2007/07/03,2.7021
2007/07/04,2.5252
2007/07/05,2.4844
2007/07/06,2.1359
2007/07/07,2.8932
2007/07/08,1.8129
2007/07/09,1.8798
2007/07/10,1.8486
2007/07/11,1.8683
2007/07/12,2.1386
2007/07/13,2.0371
2007/07/14,1.7772
2007/07/15,1.6414
2007/07/16,1.6497
2007/07/17,1.5509
2007/07/18,1.5571
2007/07/19,1.5236
2007/07/20,1.7965
2007/07/21,2.2104
2007/07/22,2.4207
2007/07/23,2.743
2007/07/24,2.4893
2007/07/25,2.1891
2007/07/26,2.1891
2007/07/27,2.1891
2007/07/28,1.8595
2007/07/29,1.9825
2007/07/30,2.3347
2007/07/31,2.8932
2007/08/01,2.6099
2007/08/02,2.0697
2007/08/03,1.9727
2007/08/04,1.8898
2007/08/05,1.7682
2007/08/06,1.8436
2007/08/07,2.0011
2007/08/08,6.3028
2007/08/09,3.4896
2007/08/10,2.3751
2007/08/11,1.8951
2007/08/12,1.4514
2007/08/13,1.1548
2007/08/14,1.2201
2007/08/15,1.2955
2007/08/16,1.3007
2007/08/17,1.4856
2007/08/18,2.2371
2007/08/19,3.5658
2007/08/20,9.067
2007/08/21,5.7787
2007/08/22,5.976
2007/08/23,3.3941
2007/08/24,2.7452
2007/08/25,3.1164
2007/08/26,3.0802
2007/08/27,3.0026
2007/08/28,2.8207
2007/08/29,2.5734
2007/08/30,2.3356
2007/08/31,2.0011
2007/09/01,2.5758
2007/09/02,3.0902
2007/09/03,3.1318
2007/09/04,2.8
2007/09/05,2.1371
2007/09/06,2.01
2007/09/07,2.272
2007/09/08,2.2925
2007/09/09,2.4759
2007/09/10,2.5581
2007/09/11,2.3837
2007/09/12,2.3089
2007/09/13,2.2462
2007/09/14,2.1273
2007/09/15,2.742
2007/09/16,2.9054
2007/09/17,3.0164
2007/09/18,2.5
2007/09/19,1.8776
2007/09/20,1.9902
2007/09/21,1.9323
2007/09/22,1.9639
2007/09/23,2.3368
2007/09/24,2.2877
2007/09/25,2.1111
2007/09/26,1.9258
2007/09/27,1.9455
2007/09/28,2.0912
2007/09/29,2.2788
2007/09/30,2.272
2007/10/01,2.3699
2007/10/02,2.9876
2007/10/03,2.696
2007/10/04,3.023
2007/10/05,4.3832
2007/10/06,3.7688
2007/10/07,2.732
2007/10/08,3.0537
2007/10/09,3.3189
2007/10/10,4.3335
2007/10/11,12.4687
2007/10/12,5.5985
2007/10/13,4.2591
2007/10/14,3.7949
2007/10/15,3.5033
2007/10/16,3.4706
2007/10/17,3.5332
2007/10/18,3.9482
2007/10/19,3.5239
2007/10/20,3.2594
2007/10/21,3.0015
2007/10/22,2.8918
2007/10/23,2.8819
2007/10/24,2.717
2007/10/25,2.6166
2007/10/26,2.6665
2007/10/27,2.7668
2007/10/28,2.81
2007/10/29,2.8078
2007/10/30,2.7189
2007/10/31,2.732
2007/11/01,2.8827
2007/11/02,2.8072
2007/11/03,2.7275
2007/11/04,2.7567
2007/11/05,2.6599
2007/11/06,2.5101
2007/11/07,1.6787
2007/11/08,2.6895
2007/11/09,2.6239
2007/11/10,2.3271
2007/11/11,1.6579
2007/11/12,1.4832
2007/11/13,1.484
2007/11/14,1.4274
2007/11/15,1.3321
2007/11/16,1.2244
2007/11/17,1.2542
2007/11/18,1.2311
2007/11/19,1.2156
2007/11/20,1.4071
2007/11/21,1.5658
2007/11/22,1.6489
2007/11/23,1.7345
2007/11/24,1.6839
2007/11/25,1.5211
2007/11/26,1.3513
2007/11/27,1.3372
2007/11/28,1.5152
2007/11/29,1.6835
2007/11/30,1.6787
2007/12/01,1.64
2007/12/02,1.6279
2007/12/03,1.6263
2007/12/04,1.607
2007/12/05,1.5849
2007/12/06,1.5812
2007/12/07,2.0211
2007/12/08,1.4588
2007/12/09,1.4446
2007/12/10,1.5171
2007/12/11,1.5664
2007/12/12,1.5753
2007/12/13,1.579
2007/12/14,1.6245
2007/12/15,1.3982
2007/12/16,1.2464
2007/12/17,1.679
2007/12/18,2.0153
2007/12/19,1.9126
2007/12/20,1.8417
2007/12/21,1.9689
2007/12/22,4.1299
2007/12/23,9.8274
2007/12/24,3.4433
2007/12/25,2.9261
2007/12/26,2.5622
2007/12/27,2.3447
2007/12/28,2.2336
2007/12/29,2.2405
2007/12/30,2.1402
2007/12/31,2.0211
2008/01/01,2.0293
2008/01/02,2.0584
2008/01/03,2.0597
2008/01/04,8.1682
2008/01/05,5.0673
2008/01/06,3.0582
2008/01/07,2.6257
2008/01/08,1.546
2008/01/09,2.1633
2008/01/10,2.1111
2008/01/11,2.1077
2008/01/12,1.9895
2008/01/13,1.929
2008/01/14,1.8772
2008/01/15,1.7609
2008/01/16,1.7208
2008/01/17,1.7085
2008/01/18,1.8118
2008/01/19,1.7802
2008/01/20,1.7517
2008/01/21,1.7158
2008/01/22,1.5818
2008/01/23,1.515
2008/01/24,1.4751
2008/01/25,1.4662
2008/01/26,1.411
2008/01/27,1.4727
2008/01/28,1.519
2008/01/29,1.4935
2008/01/30,1.5211
2008/01/31,1.546
2008/02/01,1.4914
2008/02/02,1.4139
2008/02/03,1.4275
2008/02/04,1.5511
2008/02/05,2.121
2008/02/06,2.2257
2008/02/07,2.0058
2008/02/08,2.0171
2008/02/09,2.0075
2008/02/10,1.9631
2008/02/11,1.8682
2008/02/12,1.8632
2008/02/13,1.9015
2008/02/14,1.9087
2008/02/15,1.9435
2008/02/16,2.0183
2008/02/17,1.9765
2008/02/18,1.9663
2008/02/19,1.987
2008/02/20,2.1399
2008/02/21,2.3931
2008/02/22,2.3316
2008/02/23,2.2536
2008/02/24,2.1648
2008/02/25,2.0411
2008/02/26,2.0256
2008/02/27,2.0691
2008/02/28,2.0683
2008/02/29,2.0171
2008/03/01,2.0605
2008/03/02,2.2543
2008/03/03,2.0602
2008/03/04,1.9193
2008/03/05,1.7672
