date,Qi,Qdiv
2007-01-01,7.14,3.912
2007-01-02,7.17,3.96
2007-01-03,9.91,6.687
2007-01-04,8.52,5.258
2007-01-05,7.15,3.927
2007-01-06,7.85,4.653
2007-01-07,7.97,4.732
2007-01-08,5.26,2.106
2007-01-09,9.85,6.61
2007-01-10,8.23,4.978
2007-01-11,9.35,6.081
2007-01-12,7.64,4.433
2007-01-13,11.26,7.978
2007-01-14,8.17,4.913
2007-01-15,9.75,6.461
2007-01-16,8.41,5.139
2007-01-17,6.85,3.6
2007-01-18,10.11,6.845
2007-01-19,8.04,4.726
2007-01-20,9.97,6.629
2007-01-21,8,4.732
2007-01-22,9.43,6.133
2007-01-23,7.37,4.266
2007-01-24,10.37,7.213
2007-01-25,11.63,8.439
2007-01-26,7.18,4.046
2007-01-27,10.01,6.896
2007-01-28,8.72,5.539
2007-01-29,6.65,3.451
2007-01-30,6.96,3.85
2007-01-31,7.37,4.181
2007-02-01,9.31,6.059
2007-02-02,10.04,6.785
2007-02-03,6.23,2.972
2007-02-04,8.28,5.052
2007-02-05,7.42,4.149
2007-02-06,9.32,6.031
2007-02-07,8.83,5.577
2007-02-08,9.07,5.798
2007-02-09,10.08,6.779
2007-02-10,9.67,6.348
2007-02-11,9.11,5.763
2007-02-12,7.26,3.891
2007-02-13,10.39,7.075
2007-02-14,7.62,4.255
2007-02-15,8.86,5.519
2007-02-16,9.69,6.372
2007-02-17,10.87,7.546
2007-02-18,9.93,6.595
2007-02-19,8.03,4.72
2007-02-20,10.51,7.146
2007-02-21,8.28,4.982
2007-02-22,6.93,3.671
2007-02-23,12.6,9.223
2007-02-24,8.67,5.291
2007-02-25,9.88,6.458
2007-02-26,7.31,3.975
2007-02-27,8.81,5.439
2007-02-28,10.05,6.651
2007-03-01,8.46,5.028
2007-03-02,11.1,7.597
2007-03-03,9.41,5.921
2007-03-04,8.58,5.108
2007-03-05,10.13,6.565
2007-03-06,8.68,5.244
2007-03-07,9.84,6.442
2007-03-08,13.11,9.628
2007-03-09,11.8,8.333
2007-03-10,11.91,8.383
2007-03-11,8.46,5.018
2007-03-12,10.27,6.766
2007-03-13,8.65,5.162
2007-03-14,9.97,6.471
2007-03-15,10.79,7.238
2007-03-16,9.39,5.907
2007-03-17,10.26,6.818
2007-03-18,11.61,8.111
2007-03-19,8.19,4.741
2007-03-20,13.71,10.254
2007-03-21,9.73,6.301
2007-03-22,8.04,4.663
2007-03-23,11.55,8.133
2007-03-24,9.88,6.461
2007-03-25,12.09,8.649
2007-03-26,10.38,6.908
2007-03-27,9.2,5.734
2007-03-28,11.44,7.961
2007-03-29,9.36,5.853
2007-03-30,10.96,7.445
2007-03-31,11.33,7.811
2007-04-01,9.75,6.233
2007-04-02,9.15,5.591
2007-04-03,9.61,6.065
2007-04-04,9.3,5.799
2007-04-05,10.05,6.551
2007-04-06,10.14,6.531
2007-04-07,8.41,4.788
2007-04-08,6.55,2.887
2007-04-09,6.77,3.132
2007-04-10,7.68,4.05
2007-04-11,11.88,7.697
2007-04-12,5.82,2.2
2007-04-13,6.59,3.03
2007-04-14,10.72,7.132
2007-04-15,8.56,4.891
2007-04-16,9.17,5.418
2007-04-17,8.36,4.63
