date,value
2007/01/01,3.228
2007/01/02,3.21
2007/01/03,3.223
2007/01/04,3.262
2007/01/05,3.223
2007/01/06,3.197
2007/01/07,3.238
2007/01/08,3.154
2007/01/09,3.24
2007/01/10,3.252
2007/01/11,3.269
2007/01/12,3.207
2007/01/13,3.282
2007/01/14,3.257
2007/01/15,3.289
2007/01/16,3.271
2007/01/17,3.25
2007/01/18,3.265
2007/01/19,3.314
2007/01/20,3.341
2007/01/21,3.268
2007/01/22,3.297
2007/01/23,3.104
2007/01/24,3.157
2007/01/25,3.191
2007/01/26,3.134
2007/01/27,3.114
2007/01/28,3.181
2007/01/29,3.199
2007/01/30,3.11
2007/01/31,3.189
2007/02/01,3.251
2007/02/02,3.255
2007/02/03,3.258
2007/02/04,3.228
2007/02/05,3.271
2007/02/06,3.289
2007/02/07,3.253
2007/02/08,3.272
2007/02/09,3.301
2007/02/10,3.322
2007/02/11,3.347
2007/02/12,3.369
2007/02/13,3.315
2007/02/14,3.365
2007/02/15,3.341
2007/02/16,3.318
2007/02/17,3.324
2007/02/18,3.335
2007/02/19,3.31
2007/02/20,3.364
2007/02/21,3.298
2007/02/22,3.259
2007/02/23,3.377
2007/02/24,3.379
2007/02/25,3.422
2007/02/26,3.335
2007/02/27,3.371
2007/02/28,3.399
2007/03/01,3.432
2007/03/02,3.503
2007/03/03,3.489
2007/03/04,3.472
2007/03/05,3.565
2007/03/06,3.436
2007/03/07,3.398
2007/03/08,3.482
2007/03/09,3.467
2007/03/10,3.527
2007/03/11,3.442
2007/03/12,3.504
2007/03/13,3.488
2007/03/14,3.499
2007/03/15,3.552
2007/03/16,3.483
2007/03/17,3.442
2007/03/18,3.499
2007/03/19,3.449
2007/03/20,3.456
2007/03/21,3.429
2007/03/22,3.377
2007/03/23,3.417
2007/03/24,3.419
2007/03/25,3.441
2007/03/26,3.472
2007/03/27,3.466
2007/03/28,3.479
2007/03/29,3.507
2007/03/30,3.515
2007/03/31,3.519
2007/04/01,3.517
2007/04/02,3.559
2007/04/03,3.545
2007/04/04,3.501
2007/04/05,3.499
2007/04/06,3.609
2007/04/07,3.622
2007/04/08,3.663
2007/04/09,3.638
2007/04/10,3.63
2007/04/11,4.183
2007/04/12,3.62
2007/04/13,3.56
2007/04/14,3.588
2007/04/15,3.669
2007/04/16,3.752
2007/04/17,3.73
2007/04/18,3.741
2007/04/19,3.765
2007/04/20,3.771
2007/04/21,3.796
2007/04/22,3.789
2007/04/23,3.827
2007/04/24,3.882
2007/04/25,3.9
2007/04/26,3.847
2007/04/27,3.832
2007/04/28,3.8
2007/04/29,3.834
2007/04/30,3.87
2007/05/01,3.755
2007/05/02,3.747
2007/05/03,3.762
2007/05/04,3.724
2007/05/05,3.776
2007/05/06,3.876
2007/05/07,3.927
2007/05/08,3.972
2007/05/09,4.029
2007/05/10,3.924
2007/05/11,3.972
2007/05/12,3.956
2007/05/13,4.013
2007/05/14,4.13
2007/05/15,3.853
2007/05/16,3.9
2007/05/17,4.263
2007/05/18,4.225
2007/05/19,4.073
2007/05/20,4.076
2007/05/21,4.811
2007/05/22,4.856
2007/05/23,4.698
2007/05/24,4.668
2007/05/25,4.528
2007/05/26,4.482
2007/05/27,4.347
2007/05/28,4.321
2007/05/29,4.644
2007/05/30,4.864
2007/05/31,4.61
2007/06/01,4.053
2007/06/02,4.047
2007/06/03,4.198
2007/06/04,4.566
2007/06/05,5.455
2007/06/06,5.822
2007/06/07,6.084
2007/06/08,6.355
2007/06/09,7.131
2007/06/10,7.192
2007/06/11,7.237
2007/06/12,7.945
2007/06/13,8.854
2007/06/14,8.81
2007/06/15,8.688
2007/06/16,9.036
2007/06/17,9.349
2007/06/18,9.914
2007/06/19,10.363
2007/06/20,10.139
2007/06/21,9.858
2007/06/22,9.788
2007/06/23,9.697
2007/06/24,9.755
2007/06/25,10.395
2007/06/26,9.849
2007/06/27,9.829
2007/06/28,9.968
2007/06/29,10.106
2007/06/30,10.182
2007/07/01,10.175
2007/07/02,9.965
2007/07/03,9.028
2007/07/04,7.437
2007/07/05,7.399
2007/07/06,7.423
2007/07/07,7.62
2007/07/08,7.706
2007/07/09,7.6
2007/07/10,7.248
2007/07/11,7.26
2007/07/12,7.293
2007/07/13,7.386
2007/07/14,7.495
2007/07/15,7.483
2007/07/16,7.532
2007/07/17,7.673
2007/07/18,8.385
2007/07/19,9.068
2007/07/20,8.739
2007/07/21,8.604
2007/07/22,8.562
2007/07/23,8.699
2007/07/24,8.685
2007/07/25,8.854
2007/07/26,8.68
2007/07/27,8.669
2007/07/28,9.052
2007/07/29,9.312
2007/07/30,9.065
2007/07/31,8.753
2007/08/01,8.61
2007/08/02,8.532
2007/08/03,8.471
2007/08/04,8.416
2007/08/05,8.561
2007/08/06,7.583
2007/08/07,3.359
2007/08/08,3.058
2007/08/09,3.182
2007/08/10,3.311
2007/08/11,3.688
2007/08/12,3.536
2007/08/13,5.115
2007/08/14,6.283
2007/08/15,7.307
2007/08/16,8.355
2007/08/17,8.665
2007/08/18,8.748
2007/08/19,8.658
2007/08/20,4.473
2007/08/21,2.454
2007/08/22,2.441
2007/08/23,4.049
2007/08/24,4.892
2007/08/25,4.777
2007/08/26,4.933
2007/08/27,4.943
2007/08/28,5.012
2007/08/29,4.882
2007/08/30,4.85
2007/08/31,6.067
2007/09/01,6.378
2007/09/02,6.561
2007/09/03,5.732
2007/09/04,5.264
2007/09/05,5.302
2007/09/06,5.866
2007/09/07,6.131
2007/09/08,6.176
2007/09/09,6.463
2007/09/10,6.488
2007/09/11,6.461
2007/09/12,6.225
2007/09/13,6.257
2007/09/14,6.351
2007/09/15,6.496
2007/09/16,6.57
2007/09/17,5.341
2007/09/18,4.879
2007/09/19,4.802
2007/09/20,4.563
2007/09/21,4.772
2007/09/22,4.651
2007/09/23,4.427
2007/09/24,4.502
2007/09/25,4.281
2007/09/26,4.492
2007/09/27,4.772
2007/09/28,4.554
2007/09/29,4.791
2007/09/30,5.206
2007/10/01,4.696
2007/10/02,3.624
2007/10/03,3.477
2007/10/04,3.641
2007/10/05,3.23
2007/10/06,2.955
2007/10/07,2.972
2007/10/08,2.724
2007/10/09,2.605
2007/10/10,2.58
2007/10/11,2.565
2007/10/12,2.328
2007/10/13,2.145
2007/10/14,2.183
2007/10/15,2.186
2007/10/16,2.178
2007/10/17,2.259
2007/10/18,2.321
2007/10/19,2.226
2007/10/20,1.72
2007/10/21,1.627
2007/10/22,1.474
2007/10/23,1.425
2007/10/24,1.444
2007/10/25,1.587
2007/10/26,1.707
2007/10/27,1.731
2007/10/28,1.743
2007/10/29,3.426
2007/10/30,3.231
2007/10/31,3.002
2007/11/01,3.022
2007/11/02,2.904
2007/11/03,2.778
2007/11/04,2.741
2007/11/05,2.766
2007/11/06,2.887
2007/11/07,2.605
2007/11/08,2.582
2007/11/09,2.564
2007/11/10,2.576
2007/11/11,2.557
2007/11/12,2.41
2007/11/13,2.157
2007/11/14,2.192
2007/11/15,2.194
2007/11/16,2.198
2007/11/17,2.186
2007/11/18,2.189
2007/11/19,2.176
2007/11/20,2.175
2007/11/21,2.26
2007/11/22,1.807
2007/11/23,1.804
2007/11/24,1.77
2007/11/25,1.786
2007/11/26,1.86
2007/11/27,1.8
2007/11/28,1.855
2007/11/29,1.847
2007/11/30,1.836
2007/12/01,1.838
2007/12/02,1.848
2007/12/03,1.832
2007/12/04,1.833
2007/12/05,1.848
2007/12/06,1.846
2007/12/07,1.827
2007/12/08,1.85
2007/12/09,1.825
2007/12/10,1.837
2007/12/11,1.849
2007/12/12,1.884
2007/12/13,1.842
2007/12/14,1.79
2007/12/15,1.77
2007/12/16,1.763
2007/12/17,1.759
2007/12/18,2.08
2007/12/19,2.249
2007/12/20,2.247
2007/12/21,2.266
2007/12/22,2.058
2007/12/23,1.934
2007/12/24,1.93
2007/12/25,1.909
2007/12/26,1.893
2007/12/27,1.857
2007/12/28,1.832
2007/12/29,1.815
2007/12/30,1.782
2007/12/31,1.771
2008/01/01,1.764
2008/01/02,1.764
2008/01/03,1.477
2008/01/04,1.278
2008/01/05,1.267
2008/01/06,1.215
2008/01/07,1.239
2008/01/08,1.165
2008/01/09,1.168
2008/01/10,1.171
2008/01/11,1.305
2008/01/12,1.279
2008/01/13,1.287
2008/01/14,1.279
2008/01/15,1.25
2008/01/16,1.274
2008/01/17,1.254
2008/01/18,1.251
2008/01/19,1.262
2008/01/20,1.248
2008/01/21,1.251
2008/01/22,1.303
2008/01/23,1.518
2008/01/24,1.381
2008/01/25,1.202
2008/01/26,1.215
2008/01/27,1.192
2008/01/28,1.146
2008/01/29,1.119
2008/01/30,1.12
2008/01/31,1.115
2008/02/01,1.114
2008/02/02,1.122
2008/02/03,1.128
2008/02/04,1.119
2008/02/05,1.09
2008/02/06,1.141
2008/02/07,1.114
2008/02/08,1.165
2008/02/09,1.204
2008/02/10,1.212
2008/02/11,1.214
2008/02/12,1.216
2008/02/13,1.21
2008/02/14,1.206
2008/02/15,1.209
2008/02/16,1.21
2008/02/17,1.204
2008/02/18,1.207
2008/02/19,1.21
2008/02/20,1.209
2008/02/21,1.206
2008/02/22,1.2
2008/02/23,1.202
2008/02/24,1.199
2008/02/25,1.199
2008/02/26,1.194
2008/02/27,1.192
2008/02/28,1.202
2008/02/29,1.199
2008/03/01,1.195
2008/03/02,1.195
2008/03/03,1.203
2008/03/04,1.209
2008/03/05,1.199
2008/03/06,1.234
2008/03/07,1.219
2008/03/08,1.213
2008/03/09,1.215
2008/03/10,1.2
2008/03/11,1.203
2008/03/12,1.202
2008/03/13,1.204
2008/03/14,1.173
2008/03/15,1.123
2008/03/16,1.125
2008/03/17,1.131
2008/03/18,1.137
2008/03/19,1.149
2008/03/20,1.101
2008/03/21,1.018
2008/03/22,1.034
2008/03/23,1.028
2008/03/24,1.025
2008/03/25,1.022
2008/03/26,1.031
2008/03/27,1.036
2008/03/28,1.032
2008/03/29,1.015
2008/03/30,1.019
2008/03/31,0.971
2008/04/01,0.923
2008/04/02,0.922
2008/04/03,0.925
2008/04/04,0.926
2008/04/05,0.927
2008/04/06,0.931
2008/04/07,0.933
2008/04/08,0.907
2008/04/09,0.883
2008/04/10,0.894
2008/04/11,0.903
2008/04/12,0.905
2008/04/13,0.901
2008/04/14,0.903
2008/04/15,0.911
2008/04/16,0.917
2008/04/17,0.922
2008/04/18,0.923
2008/04/19,0.916
2008/04/20,0.917
2008/04/21,0.925
2008/04/22,0.918
2008/04/23,0.92
2008/04/24,0.919
2008/04/25,0.921
2008/04/26,0.92
2008/04/27,0.922
2008/04/28,0.922
2008/04/29,0.921
2008/04/30,0.928
2008/05/01,0.928
2008/05/02,0.923
2008/05/03,0.915
2008/05/04,0.915
2008/05/05,0.905
2008/05/06,0.895
2008/05/07,0.897
2008/05/08,0.897
2008/05/09,0.903
2008/05/10,0.908
2008/05/11,0.905
2008/05/12,0.899
2008/05/13,0.9
2008/05/14,0.899
2008/05/15,0.896
2008/05/16,0.906
2008/05/17,0.904
2008/05/18,0.903
2008/05/19,0.903
2008/05/20,0.908
2008/05/21,0.92
2008/05/22,0.921
2008/05/23,0.922
2008/05/24,0.933
2008/05/25,0.948
2008/05/26,0.952
2008/05/27,0.956
2008/05/28,0.984
2008/05/29,0.96
2008/05/30,0.951
2008/05/31,0.951
2008/06/01,0.964
2008/06/02,0.943
2008/06/03,0.921
2008/06/04,0.93
2008/06/05,0.942
2008/06/06,1.132
2008/06/07,1.411
2008/06/08,1.455
2008/06/09,1.407
2008/06/10,1.414
2008/06/11,1.404
2008/06/12,1.388
2008/06/13,1.394
2008/06/14,1.352
2008/06/15,1.335
2008/06/16,1.331
2008/06/17,1.328
2008/06/18,1.315
2008/06/19,1.302
2008/06/20,1.303
2008/06/21,1.295
2008/06/22,1.288
2008/06/23,2.046
2008/06/24,3.28
2008/06/25,3.705
2008/06/26,4.022
2008/06/27,4.916
2008/06/28,6.089
2008/06/29,6.079
2008/06/30,6.5
2008/07/01,6.959
2008/07/02,7.075
2008/07/03,7.049
2008/07/04,7.076
2008/07/05,7.04
2008/07/06,7.084
2008/07/07,7.053
2008/07/08,7.07
2008/07/09,7.065
2008/07/10,7.077
2008/07/11,7.081
2008/07/12,7.103
2008/07/13,7.088
2008/07/14,6.919
2008/07/15,7.158
2008/07/16,7.178
2008/07/17,7.054
2008/07/18,7.078
2008/07/19,7.262
2008/07/20,7.315
2008/07/21,7.788
2008/07/22,7.667
2008/07/23,7.658
2008/07/24,8.059
2008/07/25,8.808
2008/07/26,9.154
2008/07/27,9.524
2008/07/28,9.018
2008/07/29,8.827
2008/07/30,8.993
2008/07/31,8.997
2008/08/01,9.172
2008/08/02,9.356
2008/08/03,9.381
2008/08/04,9.329
2008/08/05,9.368
2008/08/06,9.338
2008/08/07,9.32
2008/08/08,9.341
2008/08/09,9.356
2008/08/10,9.37
2008/08/11,9.352
2008/08/12,9.372
2008/08/13,9.404
2008/08/14,9.43
2008/08/15,9.436
2008/08/16,9.424
2008/08/17,9.458
2008/08/18,9.453
2008/08/19,8.945
2008/08/20,8.637
2008/08/21,8.556
2008/08/22,8.482
2008/08/23,7.039
2008/08/24,7.049
2008/08/25,7.07
2008/08/26,7.091
2008/08/27,6.339
2008/08/28,5.747
2008/08/29,6.912
2008/08/30,7.538
2008/08/31,7.536
2008/09/01,7.158
2008/09/02,6.25
2008/09/03,6.14
2008/09/04,6.121
2008/09/05,6.054
2008/09/06,5.954
2008/09/07,5.933
2008/09/08,5.939
2008/09/09,5.942
2008/09/10,5.931
2008/09/11,5.834
2008/09/12,6.049
2008/09/13,6.048
2008/09/14,6.061
2008/09/15,5.319
2008/09/16,4.022
2008/09/17,3.985
2008/09/18,4.04
2008/09/19,4.023
2008/09/20,3.737
2008/09/21,3.541
2008/09/22,3.289
2008/09/23,3.297
2008/09/24,3.37
2008/09/25,3.345
2008/09/26,3.359
2008/09/27,3.354
2008/09/28,3.356
2008/09/29,3.722
2008/09/30,3.969
2008/10/01,3.962
2008/10/02,3.993
2008/10/03,4.009
2008/10/04,3.892
2008/10/05,3.941
2008/10/06,4.15
2008/10/07,4.588
2008/10/08,4.497
2008/10/09,4.366
2008/10/10,4.415
2008/10/11,4.409
2008/10/12,4.446
2008/10/13,4.314
2008/10/14,3.908
2008/10/15,3.898
2008/10/16,3.93
2008/10/17,3.918
2008/10/18,3.858
2008/10/19,3.847
2008/10/20,3.735
2008/10/21,3.549
2008/10/22,3.535
2008/10/23,3.488
2008/10/24,3.285
2008/10/25,3.263
2008/10/26,3.231
2008/10/27,3.269
2008/10/28,3.261
2008/10/29,3.132
2008/10/30,3.127
2008/10/31,3.131
2008/11/01,3.137
2008/11/02,3.176
2008/11/03,3.151
2008/11/04,3.106
2008/11/05,3.151
2008/11/06,3.162
2008/11/07,3.166
2008/11/08,3.184
2008/11/09,3.201
2008/11/10,3.202
2008/11/11,3.247
2008/11/12,3.385
2008/11/13,3.08
2008/11/14,3.048
2008/11/15,3.051
2008/11/16,3.04
2008/11/17,3.026
2008/11/18,3.038
2008/11/19,3.04
2008/11/20,3.021
2008/11/21,2.993
2008/11/22,3.07
2008/11/23,3.068
2008/11/24,3.089
2008/11/25,3.035
2008/11/26,2.938
2008/11/27,2.957
2008/11/28,2.976
2008/11/29,2.977
2008/11/30,2.995
2008/12/01,3.002
2008/12/02,2.743
2008/12/03,2.569
2008/12/04,2.569
2008/12/05,2.601
2008/12/06,2.617
2008/12/07,2.638
2008/12/08,2.651
2008/12/09,2.619
2008/12/10,2.598
2008/12/11,2.537
2008/12/12,2.561
2008/12/13,2.563
2008/12/14,2.578
2008/12/15,2.561
2008/12/16,2.594
2008/12/17,3.451
2008/12/18,4.161
2008/12/19,4.14
2008/12/20,4.136
2008/12/21,4.1
2008/12/22,4.047
2008/12/23,4.029
2008/12/24,4.037
2008/12/25,4.045
2008/12/26,4.159
2008/12/27,4.122
2008/12/28,6.094
2008/12/29,4.135
2008/12/30,3.978
2008/12/31,4.002
2009/01/01,4.009
2009/01/02,4.015
2009/01/03,4.008
2009/01/04,3.993
2009/01/05,3.939
2009/01/06,3.963
2009/01/07,3.915
2009/01/08,4.22
2009/01/09,3.932
2009/01/10,3.978
2009/01/11,3.962
2009/01/12,3.943
2009/01/13,3.953
2009/01/14,3.95
2009/01/15,4.128
2009/01/16,3.86
2009/01/17,4.02
2009/01/18,4.017
2009/01/19,4.045
2009/01/20,4.133
2009/01/21,4.045
2009/01/22,4.072
2009/01/23,4.128
2009/01/24,4.161
2009/01/25,4.128
2009/01/26,4.147
2009/01/27,4.226
2009/01/28,4.401
2009/01/29,4.295
2009/01/30,4.446
2009/01/31,4.639
2009/02/01,4.704
2009/02/02,4.57
2009/02/03,4.659
2009/02/04,4.705
2009/02/05,4.952
2009/02/06,8.296
2009/02/07,8.118
2009/02/08,7.866
2009/02/09,7.981
2009/02/10,11.629
2009/02/11,7.881
2009/02/12,7.877
2009/02/13,7.894
2009/02/14,7.902
2009/02/15,7.895
2009/02/16,7.887
2009/02/17,7.883
2009/02/18,7.83
2009/02/19,7.848
2009/02/20,7.984
2009/02/21,8.081
2009/02/22,8.031
2009/02/23,8.032
2009/02/24,6.829
2009/02/25,5.668
2009/02/26,5.698
2009/02/27,5.682
2009/02/28,5.702
2009/03/01,5.694
2009/03/02,5.699
2009/03/03,5.714
2009/03/04,5.637
2009/03/05,5.595
2009/03/06,5.621
2009/03/07,5.635
2009/03/08,5.614
2009/03/09,5.669
2009/03/10,5.689
2009/03/11,5.691
2009/03/12,5.684
2009/03/13,5.657
2009/03/14,5.645
2009/03/15,5.653
2009/03/16,5.658
2009/03/17,5.656
2009/03/18,5.662
2009/03/19,5.625
2009/03/20,5.606
2009/03/21,5.565
2009/03/22,5.581
2009/03/23,5.576
2009/03/24,5.562
2009/03/25,5.556
2009/03/26,5.737
2009/03/27,5.845
2009/03/28,5.87
2009/03/29,5.864
2009/03/30,5.853
2009/03/31,5.834
2009/04/01,5.924
