date,value
2020/02/25,7.4
2020/03/25,7.2
2020/06/15,8.8
2020/07/28,9
2020/08/12,6
2020/09/01,4.9
2020/10/21,7
2020/11/23,7
2020/12/14,7.2
2021/01/20,7
2021/02/24,7.8
2021/03/23,7.1
2021/04/26,8
2021/05/18,6.2
2021/06/09,7
2021/07/19,6.7
2021/08/24,6.4
2021/09/28,6.8
2021/10/18,7.5
2021/11/22,4.9
2021/12/15,5.3
2022/01/19,4.9
2022/02/15,4.9
2022/03/15,5.1
2022/04/27,4.9
2022/05/17,4.9
2022/06/21,17.8
2022/07/13,4.9
2022/08/24,4.9
2022/09/14,4.9
2022/10/05,9.6
2022/11/23,4.9
2022/12/19,6.5
2023/01/23,4.9
2023/02/22,6.3
2023/03/21,5.2
2023/04/27,4.9
2023/05/24,4.9
2023/06/13,15.1
2023/07/12,4.9
2023/08/03,5.5
2023/09/20,5.2
2023/10/17,9
2023/11/28,4.9
2023/12/13,4.9
2024/01/29,4.9
2024/02/27,5.3
2024/03/19,8.8
2024/04/23,6.7
2024/05/20,4.9
2024/06/17,6.8
2024/07/23,7.3
2024/08/29,12.9
2024/09/25,4.9
2024/10/22,4.9
2024/11/27,4.9
2024/12/11,4.9
