date,value
2020/02/25,9
2020/03/25,12
2020/06/15,11
2020/07/28,27.6
2020/08/12,18.4
2020/09/01,16
2020/10/21,17
2020/11/23,15
2020/12/14,12.1
2021/01/20,10
2021/02/24,10.7
2021/03/23,12.1
2021/04/26,12
2021/05/18,14.1
2021/06/09,14.7
2021/07/19,15
2021/08/24,15.1
2021/09/28,15.3
2021/10/18,13.9
2021/11/22,12
2021/12/15,9.6
2022/01/19,6.4
2022/02/15,8.9
2022/03/15,10.9
2022/04/27,12
2022/05/17,14.8
2022/06/21,14.3
2022/07/13,14
2022/08/24,18
2022/09/14,20.9
2022/10/05,17
2022/11/23,12
2022/12/19,11.8
2023/01/23,7
2023/02/22,10
2023/03/21,12.8
2023/04/27,14
2023/05/24,14
2023/06/13,15
2023/07/12,18.6
2023/08/03,19.5
2023/09/20,18.3
2023/10/17,18.4
2023/11/28,11.9
2023/12/13,10.2
2024/01/29,7.7
2024/02/27,9.6
2024/03/19,14.7
2024/04/23,12.9
2024/05/20,16.1
2024/06/17,18.4
2024/07/23,17.7
2024/08/29,20.4
2024/09/25,18.1
2024/10/22,16.8
2024/11/27,12.7
2024/12/11,10.4
