date,value
1995/10/23,<2
1995/11/14,4.21
1995/12/18,5.35
1996/01/29,6.01
1996/02/12,8.61
1996/03/25,11.98
1996/04/22,9
1996/05/06,7.7
1996/06/19,10.4
1996/07/08,7.7
1996/08/13,9.6
1996/09/16,6
1996/10/09,3.8
1996/11/04,4.5
1996/12/16,7.7
1997/01/20,12.6
1997/02/10,6
1997/03/10,9.9
1997/04/21,19
1997/05/12,14.2
1997/06/25,12.8
1997/07/07,15.1
1997/08/04,12.3
1997/09/08,9.4
1997/10/20,1.8
1997/11/24,4
1997/12/15,5.2
1998/01/26,6
1998/02/23,8.4
1998/03/09,8.3
1998/04/20,7.5
1998/05/25,7.2
1998/06/15,6
1998/07/20,8
1998/08/10,8
1998/09/28,4
1998/10/26,7
1998/11/09,7
1998/12/01,5
1999/01/18,7
1999/02/22,8
1999/03/01,8
1999/04/19,9
1999/05/03,11
1999/06/28,12
1999/07/12,11
1999/08/16,7
1999/09/13,6
1999/10/25,7
1999/11/29,8
1999/12/13,8
2000/01/24,9
2000/02/14,10
2000/03/06,9
2000/04/10,15
2000/05/07,10
2000/06/26,9
2000/07/10,8
2000/08/07,5
2000/09/18,4
2000/10/23,4
2000/11/13,5
2000/12/18,6
2001/10/22,6.2
2001/11/05,4.8
2001/12/10,4.8
2002/01/14,4.6
2002/02/25,7.4
2002/03/18,8.3
2002/04/15,2.3
2002/05/27,9.5
2002/06/17,6.9
2002/07/01,7.5
2002/08/26,5.3
2002/09/16,5
2002/10/21,4.6
2002/11/04,5.5
2003/01/22,7
2003/02/09,4.4
2003/02/17,6.3
2003/03/26,7.7
2003/04/08,13.2
2003/05/26,10.9
2003/06/30,9.4
2003/07/16,8.4
2003/08/04,8.5
2003/09/08,5
2003/10/20,5
2003/11/25,5.1
2003/12/15,6.9
2004/01/19,8.5
2004/02/17,9.7
2004/03/23,8.9
2004/04/28,11.4
2004/05/10,15.3
2004/06/28,10.8
2004/07/14,11
2004/08/23,8.8
2004/09/15,4.3
2004/10/06,5.9
2004/11/15,9.2
2004/12/20,10.3
2005/01/25,9
2005/02/21,8.9
2005/03/16,13.5
2005/04/13,9.7
2005/05/23,8.7
2005/06/20,8
2005/07/27,9.8
2005/08/30,4.4
2005/09/27,5.2
2005/10/31,6.7
2005/11/28,8.9
2005/12/21,9.8
2006/01/24,10.4
2006/02/13,9.9
2006/03/14,10.1
2006/04/19,12.3
2006/05/22,13.5
2006/06/13,11
2006/07/11,12
2006/08/14,9
2006/09/12,10.6
2006/10/10,6.2
2006/11/13,4.9
2006/12/11,4.4
