date,value
2001/10/22,11.83
2001/11/05,16
2001/12/10,11
2002/01/14,7.56
2002/02/25,8.44
2002/03/18,7.96
2002/04/15,11.04
2002/05/27,11.66
2002/06/17,12.8
2002/07/01,12.21
2002/08/26,15.91
2002/09/16,16.86
2002/10/21,17.35
2002/11/04,16.56
2003/01/22,9.5
2003/02/09,12.23
2003/02/17,7.8
2003/03/26,8.11
2003/04/08,8.9
2003/05/26,10.3
2003/06/30,13
2003/07/16,14
2003/08/04,15
2003/09/08,16.93
2003/10/20,16
2003/11/25,13.2
2003/12/15,11
2004/01/19,8.3
2004/02/17,8.1
2004/03/23,8.8
2004/04/28,9.7
2004/05/10,10.7
2004/06/28,14.2
2004/07/14,14.6
2004/08/23,17.3
2004/09/15,18
2004/10/06,17.9
2004/11/15,13.1
2004/12/20,10
2005/01/25,7.8
2005/02/21,7
2005/03/16,8
2005/04/13,8
2005/05/23,11
2005/06/20,14
2005/07/27,20
2005/08/30,16
2005/09/27,16
2005/11/28,12
2006/02/13,8
2006/03/14,8
2006/04/19,12
2006/05/22,15
2006/06/13,16
2006/07/11,15
2006/08/14,16
2006/09/12,13.7
2006/10/10,15
2006/11/13,14.7
2006/12/11,12
