date,value
2001/10/22,11.83
2001/11/05,16
2001/12/10,11
2002/01/14,7.56
2002/02/25,8.44
2002/03/18,7.96
2002/04/15,11.04
2002/05/27,11.66
2002/06/17,12.8
2002/07/01,12.21
2002/08/26,15.91
2002/09/16,16.86
2002/10/21,17.35
2002/11/04,16.56
2003/01/22,9.5
2003/02/09,12.23
2003/02/17,7.8
2003/03/26,8.11
2003/04/08,8.9
2003/05/26,10.3
2003/06/30,13
2003/07/16,14
2003/08/04,15
2003/09/08,16.93
2003/10/20,16
2003/11/25,13.2
2003/12/15,11
2004/01/19,8.3
2004/02/17,8.1
2004/03/23,8.8
2004/04/28,9.7
2004/05/10,10.7
2004/06/28,14.2
2004/07/14,14.6
2004/08/23,17.3
2004/09/15,18
2004/10/06,17.9
2004/11/15,13.1
2004/12/20,10
2005/01/25,7.8
2005/02/21,7
2005/03/16,8
2005/04/13,8
2005/05/23,11
2005/06/20,14
2005/07/27,20
2005/08/30,16
2005/09/27,16
2005/11/28,12
2006/02/13,8
2006/03/14,8
2006/04/19,12
2006/05/22,15
2006/06/13,16
2006/07/11,15
2006/08/14,16
2006/09/12,13.7
2006/10/10,15
2006/11/13,14.7
2006/12/11,12
2020/02/25,9
2020/03/25,12
2020/06/15,11
2020/07/28,27.6
2020/08/12,18.4
2020/09/01,16
2020/10/21,17
2020/11/23,15
2020/12/14,12.1
2021/01/20,10
2021/02/24,10.7
2021/03/23,12.1
2021/04/26,12
2021/05/18,14.1
2021/06/09,14.7
2021/07/19,15
2021/08/24,15.1
2021/09/28,15.3
2021/10/18,13.9
2021/11/22,12
2021/12/15,9.6
2022/01/19,6.4
2022/02/15,8.9
2022/03/15,10.9
2022/04/27,12
2022/05/17,14.8
2022/06/21,14.3
2022/07/13,14
2022/08/24,18
2022/09/14,20.9
2022/10/05,17
2022/11/23,12
2022/12/19,11.8
2023/01/23,7
2023/02/22,10
2023/03/21,12.8
2023/04/27,14
2023/05/24,14
2023/06/13,15
2023/07/12,18.6
2023/08/03,19.5
2023/09/20,18.3
2023/10/17,18.4
2023/11/28,11.9
2023/12/13,10.2
2024/01/29,7.7
2024/02/27,9.6
2024/03/19,14.7
2024/04/23,12.9
2024/05/20,16.1
2024/06/17,18.4
2024/07/23,17.7
2024/08/29,20.4
2024/09/25,18.1
2024/10/22,16.8
2024/11/27,12.7
2024/12/11,10.4
