date,value
2020/07/31,9.617984247
2020/08/01,9.563888788
2020/08/02,9.225357695
2020/08/03,9.482711422
2020/08/04,10.328217509
2020/08/05,8.873704639
2020/08/06,8.716353051
2020/08/07,8.468328496
2020/08/08,8.448974749
2020/08/09,9.343888555
2020/08/10,9.37183918
2020/08/11,8.499407336
2020/08/12,8.071321049
2020/08/13,8.411849637
2020/08/14,8.182924225
2020/08/15,8.962665235
2020/08/16,8.167239659
2020/08/17,7.980990995
2020/08/18,7.756742575
2020/08/19,7.418428417
2020/08/20,7.433369477
2020/08/21,7.063729513
2020/08/22,7.268242435
2020/08/23,7.192296137
2020/08/24,6.46144178
2020/08/25,6.987296069
2020/08/26,6.931775877
2020/08/27,6.728535324
2020/08/28,18.402139698
2020/08/29,205.627519581
2020/08/30,119.822356106
2020/08/31,43.171274129
2020/09/01,23.536620664
2020/09/02,18.91955329
2020/09/03,15.444377234
2020/09/04,13.984654189
2020/09/05,12.850174224
2020/09/06,11.906564019
2020/09/07,15.086535988
2020/09/08,13.172799151
2020/09/09,13.669187525
2020/09/10,15.874919581
2020/09/11,13.599556886
2020/09/12,12.581797538
2020/09/13,11.40022811
2020/09/14,10.586677826
2020/09/15,9.849976014
2020/09/16,9.791036885
2020/09/17,9.261447976
2020/09/18,9.426159188
2020/09/19,9.23216513
2020/09/20,9.172044967
2020/09/21,10.443716463
2020/09/22,12.073970486
2020/09/23,16.423933254
2020/09/24,9.35036532
2020/09/25,8.110985912
2020/09/26,7.579951707
2020/09/27,7.702274266
2020/09/28,8.283963362
2020/09/29,7.457824013
2020/09/30,7.29629585
2020/10/01,7.150270929
2020/10/02,7.332075306
2020/10/03,9.79185358
2020/10/04,9.087586459
2020/10/05,8.856160171
2020/10/06,9.022437262
2020/10/07,8.433825556
2020/10/08,7.3764438
2020/10/09,10.466282903
2020/10/10,8.899209809
2020/10/11,21.736979522
2020/10/12,9.863629993
2020/10/14,7.930504992
2020/10/15,9.756549824
2020/10/16,8.516891093
2020/10/17,7.950297289
2020/10/18,7.438817743
2020/10/19,7.337765088
2020/10/20,7.157649039
2020/10/21,7.040984743
2020/10/22,7.932853907
2020/10/23,8.25106426
2020/10/24,8.711076348
2020/10/25,8.797942499
2020/10/26,8.036190153
2020/10/27,7.510841733
2020/10/28,7.244910725
2020/10/29,7.310902055
2020/10/30,6.955937988
2020/10/31,6.865741805
2020/11/01,6.603037471
2020/11/02,6.863057967
2020/11/03,6.506950119
2020/11/04,10.804702344
2020/11/05,13.066763227
2020/11/06,9.869206132
2020/11/07,10.033413599
2020/11/08,21.749242632
2020/11/09,17.454684471
2020/11/10,14.507307094
2020/11/11,13.108838143
2020/11/12,11.843870088
2020/11/13,10.935302853
2020/11/14,10.391690049
2020/11/15,9.718499715
2020/11/16,9.387012447
2020/11/17,9.011486597
2020/11/18,8.657969629
2020/11/19,8.559455455
2020/11/20,8.24556313
2020/11/21,7.920034681
2020/11/22,7.878145768
2020/11/23,7.710171339
2020/11/25,7.538175535
2020/11/28,130.575056677
2020/11/29,111.95291996
2020/11/30,41.547206121
2020/12/01,25.933624928
2020/12/02,19.631512083
2020/12/03,15.895981175
2020/12/04,14.093306436
2020/12/05,12.696033908
2020/12/06,11.289524858
2020/12/07,10.39620822
2020/12/08,10.117167166
2020/12/09,9.301559099
2020/12/10,9.01790229
2020/12/11,8.631582667
2020/12/12,8.654011338
2020/12/13,8.427621381
2020/12/14,8.14987873
2020/12/15,7.995072303
2020/12/16,7.919170891
2020/12/17,7.613465023
2020/12/20,
2020/12/24,7.41204036
2020/12/25,7.263301388
2020/12/26,6.974285505
2020/12/28,7.053923948
2020/12/29,6.967824495
2020/12/30,6.845616723
2020/12/31,6.822387479
2021/01/01,6.606596745
2021/01/02,6.60196194
2021/01/03,6.436999145
2021/01/04,6.083788812
2021/01/05,6.015821106
2021/01/06,6.066721192
2021/01/07,6.087282082
2021/01/08,6.212789508
2021/01/09,6.831802933
2021/01/10,7.037454501
2021/01/11,7.020447776
2021/01/12,6.752795547
