date,value
1995/10/16,7.27
1995/12/19,6.93
1996/01/08,7.98
1996/02/26,17.98
1996/03/27,10.96
1996/04/16,4.64
1996/05/29,5.8
1996/06/17,5.4
1996/07/24,4.3
1996/08/12,3.8
1996/09/25,5.1
1996/10/01,2.8
1996/11/11,6.1
1996/12/03,16.9
1997/01/21,16.8
1997/02/24,16
1997/03/05,5.4
1997/04/28,6.7
1997/05/14,4
1997/06/30,<1
1997/07/22,1.3
1997/08/26,3.1
1997/09/29,5
1997/10/13,4.9
1997/11/05,2.6
1997/12/10,3.9
1998/01/19,4.8
1998/02/09,9.3
1998/03/25,1.7
1998/04/28,3.6
1998/05/19,2.8
1998/06/10,3
1998/07/01,2
1998/08/24,3
1998/09/08,8
1998/10/07,6
1998/11/24,8
1998/12/15,6
1999/01/12,11
1999/03/08,8
1999/04/20,8
1999/05/17,7
1999/06/02,7
1999/07/13,12
1999/08/31,7
1999/09/27,5
1999/10/25,6
1999/11/17,15
1999/12/15,12
2000/01/10,12
2000/02/22,19
2000/03/20,10
2000/04/17,5
2000/05/15,7
2000/06/21,5
2000/07/03,5
2000/08/02,11
2000/09/27,25
2000/10/16,13
2000/11/07,13
2000/12/11,11
2001/10/15,20.3
2001/11/20,14.9
2001/12/03,17.7
2002/01/21,13.7
2002/02/27,8.7
2002/03/06,8.4
2002/04/24,4.5
2002/05/29,8.4
2002/06/10,10
2002/07/15,7.8
2002/08/19,10.8
2002/09/18,7
2002/10/14,7
2002/11/26,5.9
2002/12/02,8.4
2003/01/27,13
2003/02/26,10.3
2003/03/10,11.1
2003/04/02,8.5
2003/05/05,6.2
2003/06/09,4.3
2003/07/21,4.7
2003/08/06,7
2003/09/15,7.5
2003/10/22,7.7
2003/11/17,13.1
2003/12/01,14
2004/01/28,21.4
2004/02/24,13
2004/03/16,23.2
2004/04/21,15.1
2004/05/03,16.5
2004/06/01,15.6
2004/07/28,15.3
2004/08/09,17.9
2004/09/29,14.6
2004/10/20,13.4
2004/11/08,13.7
2004/12/13,12.3
2005/01/19,19.2
2005/02/02,18.4
2005/03/02,21.5
2005/04/05,7.2
2005/05/03,4.1
2005/06/06,3.1
2005/07/19,3.2
2005/08/22,5.8
2005/09/21,13.4
2005/10/24,15.9
2005/11/22,14.9
2005/12/13,18.9
2006/01/17,23.9
2006/02/13,33.9
2006/03/14,17.2
2006/04/18,8.4
2006/05/15,6.9
2006/06/13,5.4
2006/07/10,4.7
2006/08/01,4.6
2006/09/12,10.7
2006/10/09,13.8
2006/11/13,86
2006/12/11,14.5
