date,value
2001/10/15,16.3
2001/12/03,6.6
2002/01/21,2.2
2002/02/27,9.61
2002/03/06,8.3
2002/04/24,13.76
2002/05/29,15.15
2002/06/10,13.84
2002/07/15,18.63
2002/08/19,23.4
2002/09/18,17.24
2002/10/14,12.8
2002/11/26,8.01
2002/12/02,6.34
2003/01/27,3.8
2003/02/26,7.3
2003/03/10,9.1
2003/04/02,11.3
2003/05/05,16.1
2003/06/09,19
2003/07/21,26
2003/09/15,18
2003/10/22,11.4
2003/11/17,10.2
2003/12/01,7.8
2004/01/28,7.3
2004/02/24,6.8
2004/03/16,10.2
2004/04/21,10.9
2004/05/03,10
2004/06/01,15.1
2004/08/09,23.4
2004/09/29,18.2
2004/10/20,15.1
2004/11/08,12
2004/12/13,7
2005/01/19,3
2005/02/02,1
2005/03/02,4
2005/04/05,12
2005/05/03,17
2005/06/06,23
2005/07/19,25
2005/08/22,20
2005/09/21,16.3
2006/02/13,9
2006/03/14,10
2006/04/18,14
2006/05/15,20
2006/06/13,25
2006/07/10,23
2006/08/01,30
2006/09/12,18.9
2006/10/09,19
2006/11/13,13
2006/12/11,6.9
