date,V,Qi,Qo
01/02/1980,140.26,41.9213,37.8704
01/03/1980,137.905,9.4213,36.7361
01/04/1980,135.35,2.4537,32.0833
01/05/1980,133.102,-26.0417,0
01/06/1980,133.42,3.7037,0
01/07/1980,133.78,4.6181,0.4514
01/08/1980,134.1,28.3565,24.6528
01/09/1980,132.485,-11.7708,6.9792
01/10/1980,132.15,21.2037,25.1389
01/11/1980,130.39,-17.3148,3.0556
01/12/1980,130.48,1.0417,0
01/13/1980,130.84,9.4444,5.2778
01/14/1980,130.66,37.3148,39.3982
01/15/1980,127.85,5.2199,37.7431
01/16/1980,125,-9.8148,23.1713
01/17/1980,123.34,-13.2292,5.9838
01/18/1980,123.385,14.5833,14.0046
01/19/1980,122.7,-7.9861,0
01/20/1980,123.16,5.3241,0
01/21/1980,123.61,6.3542,1.1458
01/22/1980,123.88,4.6528,1.5278
01/23/1980,124.195,5.9375,2.2338
01/24/1980,124.8,8.9699,1.9097
01/25/1980,125.1,4.3056,0.8333
01/26/1980,126.32,14.1204,0
01/27/1980,127.4,12.5,0
01/28/1980,128.505,15.0116,2.1644
01/29/1980,129.345,21.6204,11.8982
01/30/1980,129.24,7.2569,8.5301
01/31/1980,128.925,5.9028,9.6065
02/01/1980,128.872,10.6481,11.2269
02/02/1980,128.25,23.2523,30.4282
02/03/1980,126.23,-7.6273,15.7523
02/04/1980,125.2,-0.5787,11.3426
02/05/1980,124.555,-2.1759,5.3472
02/06/1980,124.555,27.6273,27.6273
02/07/1980,122.75,-15.9838,4.9653
02/08/1980,122.65,-0.0116,1.1458
02/09/1980,123.16,7.6852,1.7824
02/10/1980,123.25,1.0417,0
02/11/1980,123.25,36.4699,36.4699
02/12/1980,120.755,-12.7083,16.2269
02/13/1980,119.9,-7.9745,1.9792
02/14/1980,120.08,6.794,4.7106
02/15/1980,119.99,2.3264,3.3681
02/16/1980,120.37,18.5301,14.1319
02/17/1980,119.74,-2.8935,4.3981
02/18/1980,119.74,17.4421,17.4421
02/19/1980,118.46,-9.8264,4.9884
02/20/1980,118.3,18.9583,20.8102
02/21/1980,116.857,16.6435,33.3102
02/22/1980,114.4,-19.8843,8.588
02/23/1980,115.34,10.8796,0
02/24/1980,116.355,11.8056,0
02/25/1980,118.62,26.2731,0
02/26/1980,122.98,50.463,0
02/27/1980,125.5,38.5301,9.3634
02/28/1980,126.5,11.5741,0
02/29/1980,127.8,15.0463,0
03/01/1980,129.03,14.2361,0
03/02/1980,129.96,10.7639,0
03/03/1980,130.75,45.3009,36.1574
03/04/1980,129.03,-9.3403,10.5671
03/05/1980,128.977,-0.0694,0.5093
03/06/1980,129.62,7.9167,0.5093
03/07/1980,130.39,8.912,0
03/08/1980,131.02,7.2917,0
03/09/1980,131.8,9.0278,0
03/10/1980,132.295,8.206,2.419
03/11/1980,132.865,6.794,0.1968
03/12/1980,133.465,6.9444,0
03/13/1980,134.05,9.6296,2.8009
03/14/1980,134.4,9.3981,5.3472
03/15/1980,134.45,1.412,0.8333
03/16/1980,134.75,3.4722,0
03/17/1980,135.15,15.706,11.0764
03/18/1980,134.7,-5.2083,0
03/19/1980,135.25,6.3657,0
03/20/1980,135.75,5.787,0
03/21/1980,136.25,8.2639,2.4769
03/22/1980,136.95,8.1019,0
03/23/1980,137.43,5.5556,0
03/24/1980,137.905,12.0486,6.4931
03/25/1980,138.09,20.7755,18.5764
03/26/1980,136.95,-11.9213,1.2731
03/27/1980,137.335,33.0903,28.5764
03/28/1980,135.65,-12.0486,7.5116
03/29/1980,135.5,-1.7361,0
03/30/1980,136,5.787,0
03/31/1980,136.55,6.3657,0
04/01/1980,137.097,6.6898,0.3241
04/02/1980,137.62,6.0185,0
04/03/1980,138.135,6.0185,0
04/04/1980,138.63,5.787,0
04/05/1980,139,4.2824,0
04/06/1980,139.62,7.1759,0
04/07/1980,140.03,4.7454,0
04/08/1980,140.605,6.713,0
04/09/1980,140.95,4.0509,0
04/10/1980,141.565,7.1759,0
04/11/1980,141.975,9.7106,4.9653
04/12/1980,141.155,-5.4167,4.0741
04/13/1980,142.067,46.0532,35.5208
04/14/1980,139.305,-21.8866,10.0579
04/15/1980,141.155,29.375,7.963
04/16/1980,144.835,63.4722,20.8796
04/17/1980,147.382,62.4884,32.9745
04/18/1980,147.382,36.5394,36.5394
04/19/1980,147.18,25.8912,28.206
04/20/1980,148.731,39.5833,21.6435
04/21/1980,148.731,20.6944,20.6944
04/22/1980,148.36,19.7801,24.0625
04/23/1980,147.747,26.2384,33.2986
04/24/1980,146.12,4.1204,22.9861
04/25/1980,145.317,11.2384,20.4977
04/26/1980,144.49,-9.6065,0
04/27/1980,145.422,10.7639,0
04/28/1980,146.36,30.4282,19.5486
04/29/1980,145.737,15.3588,22.5347
04/30/1980,144.892,5.4398,15.2778
05/01/1980,144.202,-7.9861,0
05/02/1980,144.835,7.2917,0
05/03/1980,145.527,14.0278,6.0417
05/04/1980,145.895,9.8843,5.6019
05/05/1980,146.48,24.2014,17.3727
05/06/1980,146.12,3.5995,7.7662
05/07/1980,148.021,42.1759,20.1852
05/08/1980,150.15,68.2523,43.5995
05/09/1980,148.855,27.0255,42.0718
05/10/1980,147.838,7.1065,18.912
05/11/1980,148.171,8.4028,4.5833
05/12/1980,149.45,57.7199,42.9051
05/13/1980,147.61,33.125,54.4213
05/14/1980,146.06,11.8519,29.7917
05/15/1980,148.36,57.6157,30.9954
05/16/1980,149.85,70.2083,52.963
05/17/1980,149.102,35.2431,43.9236
05/18/1980,148.36,1.875,10.4398
05/19/1980,150.05,66.088,46.5278
05/20/1980,148.483,20.7176,38.8889
05/21/1980,147.565,12.338,22.9861
05/22/1980,147.473,33.206,34.2477
05/23/1980,147.382,7.0486,8.0903
05/24/1980,149.038,68.669,49.456
05/25/1980,147.382,-19.213,0
05/26/1980,149.55,34.7338,9.6181
05/27/1980,150.05,55.3356,49.5486
05/28/1980,148.793,37.6157,52.1991
05/29/1980,147.08,27.3148,47.1065
05/30/1980,146.24,36.1111,45.8333
05/31/1980,146.24,64.9306,64.9306
06/01/1980,145.422,17.7315,27.2222
06/02/1980,145.055,50.5556,54.838
06/03/1980,143.08,27.2454,50.162
06/04/1980,141.36,25.9259,45.8333
06/05/1980,139.53,28.912,50.0926
06/06/1980,137.62,21.2963,43.4028
06/07/1980,136.25,16.2963,32.1528
06/08/1980,137.145,22.9861,12.5694
06/09/1980,142.3,111.6782,51.956
06/10/1980,142.852,29.1667,22.8009
06/11/1980,144.777,52.5463,30.2083
06/12/1980,145.58,21.169,11.9097
06/13/1980,147.838,40.3935,14.2361
06/14/1980,148.978,84.8264,71.6319
06/15/1980,145.37,-37.8241,3.9583
06/16/1980,147.08,75.1736,55.3819
06/17/1980,144.26,20.6944,53.3333
06/18/1980,141.565,24.8611,56.1111
06/19/1980,138.54,25.8333,60.9028
06/20/1980,135,9.2014,50.1736
06/21/1980,132.15,5.3241,38.3102
06/22/1980,130.3,-15.3125,6.0995
06/23/1980,131.11,35.7755,26.4005
06/24/1980,131.35,2.7778,0
06/25/1980,134.45,70.6597,34.7801
06/26/1980,133.6,19.1204,28.9583
06/27/1980,133.15,22.6968,27.9051
06/28/1980,132.96,1.0417,3.2407
06/29/1980,134.25,14.9306,0
06/30/1980,136.4,36.5394,11.6551
07/01/1980,136.95,30.2083,23.8426
07/02/1980,136.25,17.7778,25.8796
07/03/1980,135.1,16.6319,29.9421
07/04/1980,133.96,15.9028,29.0972
07/05/1980,132.722,6.713,21.0648
07/06/1980,131.85,-10.0694,0
07/07/1980,132.77,11.5509,0.9028
07/08/1980,133.96,31.0069,17.2338
07/09/1980,133.6,3.8889,8.0556
07/10/1980,133.915,8.8194,5.1157
07/11/1980,134.85,23.287,12.4074
07/12/1980,134.75,35.7986,36.956
07/13/1980,133.15,-15.7292,2.7894
07/14/1980,133.78,26.9792,19.6875
07/15/1980,132.817,-11.1111,0
07/16/1980,134.45,22.1065,3.2407
07/17/1980,136,17.9398,0
07/18/1980,138.405,28.3449,0.4514
07/19/1980,139.757,29.2477,13.6227
07/20/1980,139.757,2.1065,2.1065
07/21/1980,140.605,26.4699,16.6319
07/22/1980,140.202,-2.6736,1.956
07/23/1980,140.835,12.1759,4.8843
07/24/1980,141.257,9.1551,4.294
07/25/1980,141.667,4.7454,0
07/26/1980,142.392,8.4491,0
07/27/1980,142.945,6.3657,0
07/28/1980,143.62,22.9167,15.0463
07/29/1980,142.945,20.3009,28.1713
07/30/1980,141.155,6.088,26.8056
07/31/1980,139.44,-5.1273,14.7801
08/01/1980,137.81,18.3333,37.1991
08/02/1980,136,-16.8866,4.0625
08/03/1980,136.25,2.8935,0
08/04/1980,136.75,11.8056,6.0185
08/05/1980,136.75,7.1412,7.1412
08/06/1980,136.65,7.7315,8.8889
08/07/1980,136.4,4.7106,7.6042
08/08/1980,136.25,-1.7361,0
08/09/1980,136.65,4.6296,0
08/10/1980,137.05,4.6296,0
08/11/1980,137.43,9.0625,4.6644
08/12/1980,137.43,0,0
08/13/1980,137.81,4.4792,0.081
08/14/1980,138.225,9.9074,5.0463
08/15/1980,138.27,0.5787,0
08/16/1980,139,8.4491,0
08/17/1980,139.8,9.2593,0
08/18/1980,140.605,9.375,0
08/19/1980,141.155,6.3657,0
08/20/1980,141.667,5.9028,0
08/21/1980,142.16,13.3449,7.6736
08/22/1980,141.975,-2.1991,0
08/23/1980,142.392,4.8611,0
08/24/1980,142.715,3.7037,0
08/25/1980,142.99,16.3542,13.1134
08/26/1980,142.392,1.331,8.2755
08/27/1980,142.345,0.8565,1.4352
08/28/1980,142.483,1.6204,0
08/29/1980,142.945,8.2639,2.9398
08/30/1980,143.17,30.3704,27.7083
08/31/1980,141.82,-13.287,2.338
09/01/1980,141.975,5.544,3.6921
09/02/1980,142.16,2.1991,0
09/03/1980,142.437,3.2407,0
09/04/1980,142.76,3.7037,0
09/05/1980,142.99,2.662,0
09/06/1980,143.26,3.125,0
09/07/1980,143.62,4.1667,0
09/08/1980,143.8,2.0833,0
09/09/1980,144.145,8.9583,4.9074
09/10/1980,144.605,15.463,10.1389
09/11/1980,144.49,5.6134,7.0023
09/12/1980,144.49,13.0556,13.0556
09/13/1980,143.755,-4.9537,3.6111
09/14/1980,143.972,25.0116,22.4653
09/15/1980,142.76,11.9097,25.9144
09/16/1980,141.155,-7.4306,11.2037
09/17/1980,140.663,3.0787,8.75
09/18/1980,140.322,-3.9352,0
09/19/1980,140.605,3.2407,0
09/20/1980,140.835,8.75,6.088
09/21/1980,140.663,1.794,3.7616
09/22/1980,140.663,16.794,16.794
09/23/1980,139.845,0.8102,10.3009
09/24/1980,139.53,-1.8981,1.8056
09/25/1980,139.8,31.1921,28.0671
09/26/1980,138.18,0.6019,19.3519
09/27/1980,137.097,-12.1181,0.3819
09/28/1980,137.24,1.6204,0
09/29/1980,137.525,10.1736,6.8171
09/30/1980,137.382,9.8958,11.5162
10/01/1980,136.8,-5.8102,0.9028
10/02/1980,137.05,7.037,4.1435
10/03/1980,137.05,0,0
10/04/1980,137.24,2.1991,0
10/05/1980,137.43,2.1991,0
10/06/1980,137.715,5.6366,2.2801
10/07/1980,137.665,-0.5787,0
10/08/1980,137.857,2.1991,0
10/09/1980,138.18,3.7037,0
10/10/1980,138.315,1.6204,0
10/11/1980,138.675,4.1667,0
10/12/1980,138.99,3.7037,0
10/13/1980,139.17,14.6991,12.6157
10/14/1980,138.45,7.1181,15.4514
10/15/1980,137.572,-4.2245,5.9606
10/16/1980,137.335,-2.7778,0
10/17/1980,137.715,4.3981,0
10/18/1980,138.45,36.1227,27.5579
10/19/1980,137.24,9.8032,23.8079
10/20/1980,135.5,-12.2454,7.8935
10/21/1980,135.85,11.1806,7.1296
10/22/1980,135.65,5.9606,8.2755
10/23/1980,135.3,-4.0509,0
10/24/1980,135.75,5.2083,0
10/25/1980,136.05,9.2593,5.787
10/26/1980,135.85,-2.3148,0
10/27/1980,136.15,6.713,3.2407
10/28/1980,136.25,6.6319,5.4745
10/29/1980,136.2,4.5139,5.0926
10/30/1980,136.1,2.5347,3.6921
10/31/1980,136.05,4.0509,4.6296
11/01/1980,136.45,4.6296,0
11/02/1980,136.75,3.4722,0
11/03/1980,137,28.2292,25.3357
11/04/1980,135.45,11.8056,29.7454
11/05/1980,133.69,13.0556,33.4259
11/06/1980,132.26,3.6921,20.2431
11/07/1980,131.55,-5.6019,2.6157
11/08/1980,131.8,2.8935,0
11/09/1980,132.447,7.5231,0
11/10/1980,133.87,17.0833,0.6481
11/11/1980,135.45,18.287,0
11/12/1980,136.65,13.8889,0
11/13/1980,137.477,9.6065,0
11/14/1980,138.225,8.6806,0
11/15/1980,138.855,16.0069,8.7153
11/16/1980,138.675,-2.0833,0
11/17/1980,139.17,35.6019,29.8148
11/18/1980,137.665,11.1111,28.588
11/19/1980,136,6.1921,25.5208
11/20/1980,134.55,8.912,25.6944
11/21/1980,133.007,8.5648,26.3889
11/22/1980,131.3,-1.6782,18.1134
11/23/1980,130.13,-10.5324,3.0093
11/24/1980,130.257,11.8056,10.3009
11/25/1980,129.79,-5.3819,0.0579
11/26/1980,130.175,12.2685,7.7546
11/27/1980,130.045,6.1921,7.6968
11/28/1980,130.045,2.4884,2.4884
11/29/1980,130.175,1.5046,0
11/30/1980,130.435,5.3819,2.3727
12/01/1980,130.66,2.662,0
12/02/1980,130.93,25.8681,22.7431
12/03/1980,129.662,7.4537,22.1528
12/04/1980,128.1,2.7778,20.8333
12/05/1980,126.86,5.6713,20.0232
12/06/1980,125.6,-14.5833,0
12/07/1980,125.825,2.662,0
12/08/1980,126.23,26.2153,21.4699
12/09/1980,124.8,3.2407,19.7917
12/10/1980,123.43,8.3333,24.1898
12/11/1980,121.6,-2.7778,18.4028
12/12/1980,120.37,6.1343,20.3704
12/13/1980,119.02,-15.625,0
12/14/1980,119.26,2.7778,0
12/15/1980,119.42,19.213,17.3611
12/16/1980,118.46,9.1088,20.2199
12/17/1980,117.17,5.6481,20.5787
12/18/1980,115.832,18.8426,34.3519
12/19/1980,113.12,1.1227,32.4884
12/20/1980,110.605,8.4259,37.5926
12/21/1980,107.99,-16.3657,13.9583
12/22/1980,107.14,7.662,17.5
12/23/1980,106.16,0,11.3426
12/24/1980,105.64,-1.3542,4.6644
12/25/1980,105.52,8.6921,10.081
12/26/1980,105.08,5.2894,10.3819
12/27/1980,104.96,8.9931,10.3819
12/28/1980,104.56,32.3148,36.9444
12/29/1980,101.682,21.3194,54.6528
12/30/1980,97.32,4.8495,55.3125
12/31/1980,93.008,-2.7315,47.1528
01/01/1981,89.427,-23.6574,17.7778
01/02/1981,88.135,37.6389,52.5694
01/03/1981,84.092,-0.0926,46.6667
01/04/1981,80.205,-26.4815,18.5417
01/05/1981,79.045,34.0741,47.5
01/06/1981,75.4,-19.0278,23.2176
01/07/1981,73.58,26.4815,47.5463
01/08/1981,69.83,-9.6991,33.7037
01/09/1981,68.22,21.3426,39.9769
01/10/1981,65.04,13.2176,50.0232
01/11/1981,61.2,-10.9606,33.4838
01/12/1981,59.564,38.4722,57.4537
01/13/1981,55.692,-27.6042,17.1875
01/14/1981,54.97,-2.0139,6.3194
01/15/1981,55.06,15.1157,14.0741
01/16/1981,54.22,5.6366,15.3588
01/17/1981,53.744,-5.5556,0
01/18/1981,54.82,12.5,0
01/19/1981,55.962,15.0231,1.8287
01/20/1981,56.252,3.3565,0
01/21/1981,56.82,6.5972,0
01/22/1981,57.83,13.9468,2.2569
01/23/1981,58.602,8.912,0
01/24/1981,59.668,12.3843,0
01/25/1981,60.476,9.375,0
01/26/1981,61.2,13.1944,4.8611
01/27/1981,61.488,3.3565,0
01/28/1981,62.224,13.7731,5.2083
01/29/1981,62.448,13.2176,10.6713
01/30/1981,62.032,-4.8611,0
01/31/1981,62.48,5.2083,0
