date,V,Qi,Qo
08/02/1994,160.12,12.5926,12.5926
08/03/1994,160.38,16.2037,13.1944
08/04/1994,161.11,21.6782,13.2292
08/05/1994,161.75,17.3148,9.9074
08/06/1994,161.75,12.3495,12.3495
08/07/1994,160.29,-4.7685,12.1296
08/08/1994,159.3,0.7639,12.2222
08/09/1994,159.86,18.4259,11.9444
08/10/1994,159.82,14.2477,14.7107
08/11/1994,159,4.4676,13.9583
08/12/1994,158.14,4.0046,13.9583
08/13/1994,157.11,0.2662,12.1875
08/14/1994,155.78,0.1157,15.5093
08/15/1994,154.7,-0.6134,11.8866
08/16/1994,154.11,0.2894,7.1181
08/17/1994,154.7,23.287,16.4583
08/18/1994,156.162,32.0255,15.1042
08/19/1994,156.205,11.3773,10.8796
08/20/1994,156.549,19.2245,15.2431
08/21/1994,155.732,0.5787,10.0347
08/22/1994,154.49,1.2963,15.6713
08/23/1994,156.033,29.838,11.9792
08/24/1994,157.409,29.919,13.9931
08/25/1994,158.011,19.4907,12.5232
08/26/1994,158.398,15.4167,10.9375
08/27/1994,158.613,18.9005,16.412
08/28/1994,157.71,0.7292,11.1806
08/29/1994,156.764,1.1343,12.0833
08/30/1994,157.882,27.0023,14.0625
08/31/1994,158.613,23.3333,14.8727
09/01/1994,159.903,30.6366,15.706
09/02/1994,160.462,17.9514,11.4815
09/03/1994,160.29,10.6944,12.6852
09/04/1994,159.129,0.2546,13.6921
09/05/1994,158.269,1.1574,11.1111
09/06/1994,158.656,20.6829,16.2037
09/07/1994,159.903,27.1412,12.7083
09/08/1994,160.978,27.6042,15.162
09/09/1994,161.967,23.4028,11.956
09/10/1994,161.709,6.8981,9.8843
09/11/1994,160.591,0.6713,13.6111
09/12/1994,159.258,0.2893,15.7176
09/13/1994,161.15,36.1574,14.2593
09/14/1994,161.193,12.3611,11.8634
09/15/1994,161.365,18.1019,16.1111
09/16/1994,161.666,15.8333,12.3495
09/17/1994,162.1,15.3935,10.3704
09/18/1994,161.193,1.6551,12.1528
09/19/1994,160.462,0.9722,9.4329
09/20/1994,160.118,8.6921,12.6736
09/21/1994,161.537,27.6968,11.2732
09/22/1994,162.784,23.4375,9.0046
09/23/1994,163.085,17.5116,14.0278
09/24/1994,164.676,25.4282,7.0139
09/25/1994,163.73,0.6019,11.5509
09/26/1994,162.655,1.1574,13.5995
09/27/1994,163.343,17.3958,9.4329
09/28/1994,163.902,17.8125,11.3426
09/29/1994,164.547,8.3345,0.8692
09/30/1994,166.482,32.3611,9.9653
10/01/1994,168.832,35.2199,8.0208
10/02/1994,167.952,1.9329,12.1181
10/03/1994,167.084,1.4352,11.4815
10/04/1994,167.17,11.0301,10.0347
10/05/1994,167.17,12.0486,12.0486
10/06/1994,167.82,17.7315,10.2083
10/07/1994,167.514,8.8426,12.3843
10/08/1994,168.48,22.1296,10.9491
10/09/1994,167.471,1.0417,12.7199
10/10/1994,166.826,1.6667,9.1319
10/11/1994,174.025,89.2245,5.9028
10/12/1994,175.825,22.5116,1.6782
10/13/1994,176.05,8.6806,6.0764
10/14/1994,175.78,4.294,7.419
10/15/1994,175.33,1.8403,7.0486
10/16/1994,174.7,2.338,9.6296
10/17/1994,174.16,2.9514,9.2014
10/18/1994,173.575,1.5856,8.3565
10/19/1994,173.215,0.6366,4.8032
10/20/1994,172.765,2.4421,7.6505
10/21/1994,171.912,1.9444,11.8171
10/22/1994,172.675,16.9907,8.1597
10/23/1994,173.44,17.9167,9.0625
10/24/1994,173.125,0.2199,3.8657
10/25/1994,172.585,0.7292,6.9792
10/26/1994,171.604,0.5671,11.9213
10/27/1994,170.68,0.9491,11.6435
10/28/1994,169.58,0.0231,12.7546
10/29/1994,169.272,1.0995,4.6644
10/30/1994,168.084,1.088,14.838
10/31/1994,167.6,1.7477,7.3495
11/01/1994,167.256,4.6412,8.6227
11/02/1994,166.439,0.787,10.2431
11/03/1994,165.622,0.7523,10.2083
11/04/1994,166.482,20.4745,10.5208
11/05/1994,169.712,46.7824,9.3981
11/06/1994,175.6,81.0995,12.9514
11/07/1994,181.1,74.4676,10.8102
11/08/1994,187.05,80.8218,11.956
11/09/1994,190.953,52.0718,6.8981
11/10/1994,194.61,53.5995,11.2732
11/11/1994,198.288,52.8125,10.2431
11/12/1994,201.884,50.625,9.0046
11/13/1994,205.12,47.9861,10.5324
11/14/1994,204.28,2.3032,12.0255
11/15/1994,208.78,62.8125,10.7292
11/16/1994,212.74,56.5856,10.7523
11/17/1994,212.08,0.9144,8.5532
11/18/1994,212.08,12.8009,12.8009
11/19/1994,215.02,42.3611,8.3333
11/20/1994,214.42,1.1574,8.1019
11/21/1994,213.52,0.4398,10.8565
11/22/1994,214.78,25.6019,11.0185
11/23/1994,217.6,44.0509,11.412
11/24/1994,217.6,6.4468,6.4468
11/25/1994,215.98,0.3704,19.1204
11/26/1994,214.9,0.3009,12.8009
11/27/1994,212.86,0.6018,24.213
11/28/1994,211.54,0.6366,15.9144
11/29/1994,213.28,39.5833,19.4444
11/30/1994,216.34,52.8819,17.4653
12/01/1994,214.9,0.4167,17.0833
12/02/1994,212.26,-3.1134,27.4421
12/03/1994,210.58,5.5093,24.9537
12/04/1994,209.62,0.4282,11.5394
12/05/1994,208.9,3.206,11.5394
12/06/1994,211.9,41.5278,6.8056
12/07/1994,212.5,18.0556,11.1111
12/08/1994,213.64,37.1759,23.9815
12/09/1994,212.86,2.2801,11.3079
12/10/1994,212.02,8.7153,18.4375
12/11/1994,210.7,0.5324,15.8102
12/12/1994,209.44,0.5556,15.1389
12/13/1994,207.88,0.3009,18.3565
12/14/1994,207.22,11.25,18.8889
12/15/1994,205,-1.9097,23.7847
12/16/1994,204.58,19.4097,24.2708
12/17/1994,203.5,9.4676,21.9676
12/18/1994,202.3,9.838,23.7269
12/19/1994,201.42,0.1505,10.3357
12/20/1994,201.478,20.1505,19.4792
12/21/1994,199.274,-5.4514,20.0579
12/22/1994,197.65,0.1968,18.9931
12/23/1994,196.954,5.1042,13.1597
12/24/1994,196.664,7.8935,11.25
12/25/1994,196.78,11.713,10.3704
12/26/1994,195.67,0.5671,13.4144
12/27/1994,194.822,0.3009,10.1157
12/28/1994,195.14,8.3796,4.6991
12/29/1994,194.504,0.5093,7.8704
12/30/1994,193.55,1.1111,12.1528
12/31/1994,192.97,3.9815,10.6944
01/01/1995,192.33,0.5324,7.9398
01/02/1995,191.11,-0.8681,13.2523
01/03/1995,191.01,15.3704,16.5278
01/04/1995,191.96,21.4005,10.4051
01/05/1995,193.18,31.331,17.2107
01/06/1995,194.56,28.4838,12.5116
01/07/1995,194.35,3.6574,6.088
01/08/1995,193.34,1.6667,13.3565
01/09/1995,192.33,0.463,12.1528
01/10/1995,192.81,14.2824,8.7269
01/11/1995,192.23,5.1042,11.8171
01/12/1995,191.06,-1.0532,12.4884
01/13/1995,193.18,37.963,13.4259
01/14/1995,193.5,13.0671,9.3634
01/15/1995,192.23,0.544,15.2431
01/16/1995,191.59,0.3125,7.7199
01/17/1995,193.08,30.8449,13.5995
01/18/1995,193.02,10.0463,10.7407
01/19/1995,192.86,6.3773,8.2292
01/20/1995,192.38,9.0162,14.5718
01/21/1995,191.54,0.787,10.5093
01/22/1995,190.3,-1.0648,13.287
01/23/1995,189.65,0.0579,7.581
01/24/1995,189,0.706,8.2292
01/25/1995,187.6,1.25,17.4537
01/26/1995,188.2,15.4745,8.5301
01/27/1995,187.6,4.3981,11.3426
01/28/1995,188.35,21.1227,12.4421
01/29/1995,187.9,1.7708,6.9792
01/30/1995,187.05,1.5393,11.3773
01/31/1995,189.35,38.3681,11.7477
02/01/1995,190.4,18.4606,6.3079
02/02/1995,191.54,26.8403,13.6458
02/03/1995,193.18,31.169,12.1875
02/04/1995,194.29,22.6389,9.7917
02/05/1995,193.66,1.6551,8.9468
02/06/1995,193.02,2.9282,10.3357
02/07/1995,193.02,9.8495,9.8495
02/08/1995,193.34,15.8912,12.1875
02/09/1995,194.19,20.2778,10.4398
02/10/1995,193.82,6.412,10.6944
02/11/1995,193.71,7.3148,8.588
02/12/1995,193.13,2.5579,9.2708
02/13/1995,192.49,4.5833,11.9907
02/14/1995,192.6,13.9815,12.7083
02/15/1995,192.17,2.3148,7.2917
02/16/1995,190.9,-0.7986,13.9005
02/17/1995,190.1,3.0208,12.2801
02/18/1995,190.953,20.2431,10.3704
02/19/1995,189.9,0.4514,12.6389
02/20/1995,189.3,0.6019,7.5463
02/21/1995,189.15,9.8032,11.5394
02/22/1995,188.15,0.6481,12.2222
02/23/1995,189.25,24.1088,11.3773
02/24/1995,190.1,18.2292,8.3912
02/25/1995,189.65,7.3032,12.5116
02/26/1995,188.9,0.9144,9.5949
02/27/1995,188.05,0.6018,10.4398
02/28/1995,187.05,0.7407,12.3148
03/01/1995,186.45,4.2014,11.1458
03/02/1995,185.324,0.3819,13.4144
03/03/1995,186.45,24.1782,11.1458
03/04/1995,183.74,-16.4236,14.9421
03/05/1995,183.164,1.5625,8.2292
03/06/1995,182.396,1.1921,10.081
03/07/1995,181.628,0.9606,9.8495
03/08/1995,180.502,2.6852,15.7176
03/09/1995,181.244,19.6991,11.1111
03/10/1995,180.916,3.912,7.7083
03/11/1995,180.272,1.331,8.7847
03/12/1995,179.444,0.8565,10.4398
03/13/1995,178.662,0.6713,9.7222
03/14/1995,177.696,0.9722,12.1528
03/15/1995,177.282,4.1551,8.9468
03/16/1995,176.41,0.7639,10.8565
03/17/1995,176.684,12.338,9.1667
03/18/1995,176.914,13.8079,11.1458
03/19/1995,177.42,15.0926,9.2361
03/20/1995,176.684,0.8102,9.3287
03/21/1995,178.064,27.1875,11.2153
03/22/1995,180.088,34.1551,10.7292
03/23/1995,181.868,31.9792,11.3773
03/24/1995,184.076,35.7292,10.1736
03/25/1995,184.7,17.5926,10.3704
03/26/1995,184.124,1.1111,7.7778
03/27/1995,183.164,0.463,11.5741
03/28/1995,185.18,34.1551,10.8218
03/29/1995,187.75,44.1667,14.4213
03/30/1995,190.1,35.9144,8.7153
03/31/1995,189.8,6.5393,10.0116
04/01/1995,190.85,21.0648,8.912
04/02/1995,189.8,1.5509,13.7037
04/03/1995,189,0.787,10.0463
04/04/1995,188.7,7.8009,11.2732
04/05/1995,187.95,2.9861,11.6667
04/06/1995,186.8,1.6667,14.9769
04/07/1995,186,3.0208,12.2801
04/08/1995,185.564,3.287,8.3333
04/09/1995,184.988,3.9005,10.5671
04/10/1995,184.268,3.0787,11.412
04/11/1995,183.5,2.2569,11.1458
04/12/1995,182.492,2.8819,14.5486
04/13/1995,181.964,1.7014,7.8125
04/14/1995,180.686,0.4051,15.1968
04/15/1995,179.904,0.2199,9.2708
04/16/1995,179.26,0.3588,7.8125
04/17/1995,178.846,0.5208,5.3125
04/18/1995,177.926,0.4977,11.1458
04/19/1995,178.248,18.2176,14.4907
04/20/1995,177.236,0.2315,11.9444
04/21/1995,176.23,2.4537,14.0972
04/22/1995,175.6,1.7708,9.0625
04/23/1995,174.79,2.3727,11.7477
04/24/1995,174.115,1.9907,9.8032
04/25/1995,173.125,2.4421,13.9005
04/26/1995,173.26,12.7431,11.1806
04/27/1995,173.035,5.5903,8.1944
04/28/1995,173.305,13.831,10.706
04/29/1995,174.475,27.2338,13.6921
04/30/1995,176.5,52.6505,29.213
05/01/1995,176.185,1.4931,5.1389
05/02/1995,175.375,0.2894,9.6644
05/03/1995,176.5,14.375,1.3542
05/04/1995,177.374,10.2037,0.088
05/05/1995,176.5,3.912,14.0278
05/06/1995,175.825,4.0162,11.8287
05/07/1995,175.06,1.6204,10.4745
05/08/1995,174.25,3.1829,12.5579
05/09/1995,173.755,7.0718,12.8009
05/10/1995,172.72,1.5394,13.5185
05/11/1995,173.26,20.544,14.294
05/12/1995,172.72,3.5648,9.8148
05/13/1995,171.868,0.3819,10.2431
05/14/1995,170.9,0.5787,11.7824
05/15/1995,170.196,2.2222,10.3704
05/16/1995,169.404,1.2384,10.4051
05/17/1995,168.392,1.4815,13.1944
05/18/1995,167.514,1.2847,11.4468
05/19/1995,166.439,1.0764,13.5185
05/20/1995,165.579,0.4861,10.4398
05/21/1995,164.719,0.4514,10.4051
05/22/1995,163.902,0.4282,9.8843
05/23/1995,162.999,0.4861,10.9375
05/24/1995,161.881,0.4745,13.4144
05/25/1995,160.849,2.2917,14.2361
05/26/1995,160.075,2.0833,11.0417
05/27/1995,161.15,21.4005,8.9583
05/28/1995,161.666,22.2801,16.3079
05/29/1995,161.021,1.7014,9.1667
05/30/1995,162.354,27.1759,11.7477
05/31/1995,163.558,24.1435,10.2083
06/01/1995,164.891,30.1273,14.6991
06/02/1995,167.996,50.3704,14.4329
06/03/1995,171.516,49.4329,8.6921
06/04/1995,174.25,42.581,10.9375
06/05/1995,173.305,0.4745,11.412
06/06/1995,173.53,10.5903,7.9861
06/07/1995,172.315,0.4745,14.537
06/08/1995,171.34,1.5741,12.8588
06/09/1995,170.856,4.4329,10.0347
06/10/1995,170.196,2.4306,10.0694
06/11/1995,169.096,2.2454,14.9769
06/12/1995,168.216,1.4236,11.6088
06/13/1995,170.68,38.3912,9.8727
06/14/1995,174.385,49.6296,6.7477
06/15/1995,177.374,48.4954,13.9005
06/16/1995,180.226,44.1551,11.1458
06/17/1995,182.396,34.5139,9.3981
06/18/1995,181.484,1.6667,12.2222
06/19/1995,180.134,0.7755,16.4005
06/20/1995,182.588,39.6181,11.2153
06/21/1995,185.612,44.9537,9.9537
06/22/1995,187.95,40.0579,12.9977
06/23/1995,189.85,34.9884,12.9977
06/24/1995,190.45,15.0231,8.0787
06/25/1995,189.25,0.3819,14.2708
06/26/1995,188.3,0.3472,11.3426
06/27/1995,188.3,15.7986,15.7986
06/28/1995,188.6,20.787,17.3148
06/29/1995,188.5,10.2778,11.4352
06/30/1995,190.69,36.7593,11.412
07/01/1995,190.4,12.5926,15.9491
07/02/1995,189.45,0.5903,11.5857
07/03/1995,188.55,0.3935,10.8102
07/04/1995,188.05,8.6921,14.4792
07/05/1995,187.6,7.6157,12.8241
07/06/1995,186.5,0.4051,13.1366
07/07/1995,187.9,29.9653,13.7616
07/08/1995,189.65,33.1482,12.8935
07/09/1995,189,3.5648,11.088
07/10/1995,188,0.706,12.2801
07/11/1995,189.05,27.0949,14.9421
07/12/1995,187.9,0.463,13.7732
07/13/1995,187.3,6.0185,12.963
07/14/1995,185.852,0.4977,17.2569
07/15/1995,185.084,0.2431,9.1319
07/16/1995,183.692,0.2315,16.3426
07/17/1995,182.54,0.2894,13.6227
07/18/1995,182.06,7.6736,13.2292
07/19/1995,182.54,17.2801,11.7245
07/20/1995,182.54,14.0972,14.0972
07/21/1995,182.588,14.9421,14.3866
07/22/1995,181.964,7.1759,14.3982
07/23/1995,180.64,0.8565,16.1806
07/24/1995,179.352,0.463,15.3704
07/25/1995,178.8,6.4699,12.8588
07/26/1995,177.787,1.8171,13.5417
07/27/1995,177.144,10.0232,17.4653
07/28/1995,176.96,9.1435,11.2732
07/29/1995,175.51,0.4282,17.2107
07/30/1995,174.25,0.3588,14.9421
07/31/1995,172.855,0.3819,16.5278
08/01/1995,172.81,12.0486,12.5694
08/02/1995,171.78,4.9306,16.8519
08/03/1995,171.208,5.6019,12.2222
08/04/1995,171.076,16.5278,18.0556
08/05/1995,170.416,3.5648,11.2037
08/06/1995,169.272,0.4861,13.7269
08/07/1995,168.304,0.3241,11.5278
08/08/1995,167.732,5.9954,12.6157
08/09/1995,167.557,11.4699,13.4954
08/10/1995,167.471,14.5486,15.544
08/11/1995,167.776,16.6898,13.1597
08/12/1995,169.404,27.9051,9.0625
08/13/1995,168.48,2.0949,12.7894
08/14/1995,167.17,0.7176,15.8796
08/15/1995,169.976,39.3866,6.9097
08/16/1995,169.316,0.9259,8.5648
08/17/1995,168.392,3.7037,14.3982
08/18/1995,172.45,56.9329,9.9653
08/19/1995,172.585,10.2894,8.7269
08/20/1995,171.604,0.8681,12.2222
08/21/1995,170.812,0.6019,9.7685
08/22/1995,172.99,39.6759,14.4676
08/23/1995,173.485,20.162,14.4329
08/24/1995,174.61,28.2292,15.2083
08/25/1995,176.095,27.2569,10.0694
08/26/1995,177.328,26.25,11.9792
08/27/1995,177.972,19.9074,12.4537
08/28/1995,177.374,0.0231,6.9444
08/29/1995,178.984,34.1782,15.544
08/30/1995,181.388,38.1597,10.3357
08/31/1995,183.644,63.5648,37.4537
09/01/1995,183.884,13.3796,10.6019
09/02/1995,184.748,25.2778,15.2778
09/03/1995,184.604,9.4792,11.1458
09/04/1995,183.596,0.6481,12.3148
09/05/1995,183.404,10,12.2222
09/06/1995,184.124,18.8426,10.5093
09/07/1995,184.124,14.6991,14.6991
09/08/1995,183.692,9.5718,14.5718
09/09/1995,183.836,13.2755,11.6088
09/10/1995,182.92,0.2778,10.8796
09/11/1995,182.348,0.4282,7.0486
