date,value
2007/01/01,1.967500217
2007/01/02,2.091663412
2007/01/03,2.066302301
2007/01/04,2.164746745
2007/01/05,2.093267578
2007/01/06,2.105368273
2007/01/07,2.135916884
2007/01/08,2.063566189
2007/01/09,2.080291884
2007/01/10,2.074205078
2007/01/11,2.022000217
2007/01/12,1.995521051
2007/01/13,2.049000217
2007/01/14,2.020569662
2007/01/15,2.045206921
2007/01/16,1.965484486
2007/01/17,1.886986328
2007/01/18,1.902385634
2007/01/19,1.975479384
2007/01/20,1.896243273
2007/01/21,1.961205078
2007/01/22,2.041913412
2007/01/23,2.244735297
2007/01/24,1.933225912
2007/01/25,1.643586298
2007/01/26,1.80157203
2007/01/27,1.700740823
2007/01/28,1.686244964
2007/01/29,1.806233122
2007/01/30,1.759190755
2007/01/31,1.823894207
2007/02/01,2.066699762
2007/02/02,1.876099068
2007/02/03,1.86104004
2007/02/04,1.799146986
2007/02/05,1.782335975
2007/02/06,1.885315066
2007/02/07,1.922329123
2007/02/08,1.900073984
2007/02/09,2.080881191
2007/02/10,1.960661156
2007/02/11,1.830442773
2007/02/12,1.935776917
2007/02/13,2.190667734
2007/02/14,2.072495988
2007/02/15,1.777744749
2007/02/16,1.754746906
2007/02/17,2.239227128
2007/02/18,2.930893612
2007/02/19,2.596087765
2007/02/20,2.364890414
2007/02/21,2.003969433
2007/02/22,2.191708114
2007/02/23,1.776796863
2007/02/24,2.006783035
2007/02/25,2.110920364
2007/02/26,1.947139848
2007/02/27,1.905500761
2007/02/28,1.96566033
2007/03/01,1.949672887
2007/03/02,1.963792916
2007/03/03,2.024654593
2007/03/04,1.998064514
2007/03/05,2.053870926
2007/03/06,1.968560278
2007/03/07,1.866214891
2007/03/08,1.823746891
2007/03/09,1.736061028
2007/03/10,1.758992684
2007/03/11,1.701431668
2007/03/12,1.598587367
2007/03/13,1.738469511
2007/03/14,1.628953411
2007/03/15,1.635601382
2007/03/16,1.688837493
2007/03/17,1.71453541
2007/03/18,2.138861799
2007/03/19,1.867854855
2007/03/20,1.768896521
2007/03/21,1.525167355
2007/03/22,1.598875688
2007/03/23,1.604226382
2007/03/24,1.706979155
2007/03/25,1.657031282
2007/03/26,1.44477554
2007/03/27,1.353250215
2007/03/28,1.293506546
2007/03/29,1.557483825
2007/03/30,1.692223408
2007/03/31,2.049497714
2007/04/01,2.509636603
2007/04/02,5.698993708
2007/04/03,45.957795272
2007/04/04,22.80842207
2007/04/05,14.221078749
2007/04/06,11.561146356
2007/04/07,9.1650036
2007/04/08,7.66630055
2007/04/09,7.13896405
2007/04/10,6.589976522
2007/04/11,6.117663185
2007/04/12,7.47646015
2007/04/13,37.044822912
2007/04/14,55.879295184
2007/04/15,42.841627721
2007/04/16,35.357086976
2007/04/17,31.471036797
2007/04/18,28.674080154
2007/04/19,28.359913423
2007/04/20,20.402109359
2007/04/21,18.284327988
2007/04/22,16.358914299
2007/04/23,15.617329285
2007/04/24,15.105243968
2007/04/25,14.807466256
2007/04/26,13.911600981
2007/04/27,12.726458537
2007/04/28,11.680146268
2007/04/29,10.64477303
2007/04/30,9.800521599
2007/05/01,23.344646827
2007/05/02,25.790370039
2007/05/03,18.335181013
2007/05/04,15.962111804
2007/05/05,14.433720077
2007/05/06,12.964851433
2007/05/07,11.845955283
2007/05/08,11.626482128
2007/05/09,12.424888489
2007/05/10,12.431485986
2007/05/11,13.247918179
2007/05/12,13.801608488
2007/05/13,13.567455296
2007/05/14,14.179631943
2007/05/15,12.870024025
2007/05/16,11.440484531
2007/05/17,10.500862988
2007/05/18,10.558524027
2007/05/19,10.303331201
2007/05/20,9.847310039
2007/05/21,9.532144245
2007/05/22,8.964807152
2007/05/23,8.347564685
2007/05/24,7.763787823
2007/05/25,7.381849115
2007/05/26,7.777517324
2007/05/27,9.079569876
2007/05/28,8.672695004
2007/05/29,7.409232882
2007/05/30,6.872709184
2007/05/31,6.624013709
2007/06/01,6.423656246
2007/06/02,6.061254279
2007/06/03,5.821431362
2007/06/04,7.213798668
2007/06/05,8.378370383
2007/06/06,9.660301159
2007/06/07,9.985080961
2007/06/08,8.4935552
2007/06/09,9.477477146
2007/06/10,10.827664593
2007/06/11,8.794828457
2007/06/12,8.157146341
2007/06/13,9.805173076
2007/06/14,8.473807888
2007/06/15,7.908376363
2007/06/16,7.410812284
2007/06/17,7.132920578
2007/06/18,6.816251176
2007/06/19,6.591996137
2007/06/20,6.039663812
2007/06/21,5.582353405
2007/06/22,5.529302441
2007/06/23,5.256201196
2007/06/24,5.111397843
2007/06/25,4.747176722
2007/06/26,4.589694894
2007/06/27,4.599784583
2007/06/28,4.554521391
2007/06/29,4.47169153
2007/06/30,4.374460627
2007/07/01,4.305656808
2007/07/02,4.180729724
2007/07/03,4.015177641
2007/07/04,4.006184585
2007/07/05,3.91141028
2007/07/06,3.716486669
2007/07/07,3.532014446
2007/07/08,3.466375558
2007/07/09,3.74084778
2007/07/10,3.63987903
2007/07/11,3.602601252
2007/07/12,3.656635974
2007/07/13,3.37194153
2007/07/14,3.262424169
2007/07/15,3.130760974
2007/07/16,2.988021391
2007/07/17,2.844715835
2007/07/18,2.923951946
2007/07/19,3.031587363
2007/07/20,2.884917224
2007/07/21,3.103014446
2007/07/22,4.809486669
2007/07/23,3.764570002
2007/07/24,3.128479724
2007/07/25,3.053302641
2007/07/26,2.87628528
2007/07/27,2.608233196
2007/07/28,2.577438058
2007/07/29,2.624243613
2007/07/30,2.633639446
2007/07/31,2.716195002
2007/08/01,2.30981653
2007/08/02,2.534146391
2007/08/03,2.457965835
2007/08/04,2.377264446
2007/08/05,2.264142919
2007/08/06,2.853608196
2007/08/07,11.271358229
2007/08/08,10.785440075
2007/08/09,6.525267436
2007/08/10,5.001028335
2007/08/11,4.364070002
2007/08/12,4.338849922
2007/08/13,6.297669517
2007/08/14,4.758955419
2007/08/15,4.22641028
2007/08/16,3.888701946
2007/08/17,3.983500558
2007/08/18,3.761462363
2007/08/19,6.106368259
2007/08/20,5.663557347
2007/08/21,4.556146391
2007/08/22,4.626172937
2007/08/23,4.404029567
2007/08/24,6.157573474
2007/08/25,5.353764446
2007/08/26,4.433445002
2007/08/27,3.825024863
2007/08/28,3.71628528
2007/08/29,3.48450403
2007/08/30,3.461281808
2007/08/31,3.587528335
2007/09/01,3.275781808
2007/09/02,3.130455419
2007/09/03,3.314565071
2007/09/04,2.795622654
2007/09/05,2.450427409
2007/09/06,2.260422877
2007/09/07,2.123935702
2007/09/08,2.063539538
2007/09/09,2.188195788
2007/09/10,2.006707941
2007/09/11,1.983004816
2007/09/12,1.881310371
2007/09/13,1.962633288
2007/09/14,2.102084677
2007/09/15,2.010174955
2007/09/16,1.897018705
2007/09/17,2.214581205
2007/09/18,2.556598566
2007/09/19,2.750467491
2007/09/20,2.145058898
2007/09/21,1.880976841
2007/09/22,2.408320649
2007/09/23,2.737936255
2007/09/24,2.558968686
2007/09/25,2.444107061
2007/09/26,1.918061588
2007/09/27,1.652773369
2007/09/28,1.857294081
2007/09/29,1.771717102
2007/09/30,1.762420038
2007/10/01,1.75097813
2007/10/02,2.032365657
2007/10/03,1.941185598
2007/10/04,2.144451226
2007/10/05,3.507175974
2007/10/06,2.73672453
2007/10/07,2.088800217
2007/10/08,3.060459459
2007/10/09,3.050021166
2007/10/10,3.355641982
2007/10/11,13.09501981
2007/10/12,5.678244868
2007/10/13,3.882250964
2007/10/14,3.318085446
2007/10/15,3.043279326
2007/10/16,2.832201115
2007/10/17,2.610265958
2007/10/18,2.279857031
2007/10/19,2.324214469
2007/10/20,2.213707524
2007/10/21,2.114535819
2007/10/22,2.159386055
2007/10/23,2.042795777
2007/10/24,1.933524944
2007/10/25,2.023240221
2007/10/26,2.30600411
2007/10/27,2.055023341
2007/10/28,2.075571685
2007/10/29,1.985809666
2007/10/30,2.042141123
2007/10/31,2.023428247
2007/11/01,1.974280405
2007/11/02,1.919247228
2007/11/03,1.860384317
2007/11/04,1.834820448
2007/11/05,1.682045826
2007/11/06,1.741200181
2007/11/07,1.911662513
2007/11/08,1.885714596
2007/11/09,1.773582652
2007/11/10,1.728547929
2007/11/11,1.722350013
2007/11/12,1.694641679
2007/11/13,1.687613902
2007/11/14,1.861756263
2007/11/15,1.700068745
2007/11/16,1.551308346
2007/11/17,1.601058346
2007/11/18,1.591141679
2007/11/19,1.877216473
2007/11/20,2.467550614
2007/11/21,5.535845817
2007/11/22,3.296654923
2007/11/23,2.645485429
2007/11/24,2.570388207
2007/11/25,2.319325707
2007/11/26,2.078981957
2007/11/27,2.168366028
2007/11/28,2.206675796
2007/11/29,2.238543852
2007/11/30,2.295693157
2007/12/01,2.078936213
2007/12/02,2.048137602
2007/12/03,2.027016074
2007/12/04,1.940431147
2007/12/05,2.126748713
2007/12/06,2.037898018
2007/12/07,1.930738296
2007/12/08,1.880592463
2007/12/09,2.098095935
2007/12/10,1.945157659
2007/12/11,1.90884091
2007/12/12,1.927395894
2007/12/13,1.906914398
2007/12/14,1.809308348
2007/12/15,1.783490904
2007/12/16,1.658233304
2007/12/17,1.482635741
2007/12/18,1.838999438
2007/12/19,1.807518022
2007/12/20,1.663253767
2007/12/21,1.619026314
2007/12/22,1.897227703
2007/12/23,2.008918675
2007/12/24,1.841540203
2007/12/25,1.964248537
2007/12/26,1.755373537
2007/12/27,1.677491592
2007/12/28,1.586416511
2007/12/29,1.571594085
2007/12/30,1.676158259
2007/12/31,1.658268022
2008/01/01,1.711692289
2008/01/02,1.696398377
2008/01/03,2.312241592
2008/01/04,3.509692981
2008/01/05,2.350765898
2008/01/06,2.133436037
2008/01/07,2.305377009
2008/01/08,2.187339345
2008/01/09,2.287099231
2008/01/10,2.617695596
2008/01/11,2.469606135
2008/01/12,3.084824925
2008/01/13,2.493172148
2008/01/14,2.373102703
2008/01/15,2.39195687
2008/01/16,2.011193512
2008/01/17,2.165318051
2008/01/18,2.097241647
2008/01/19,1.861019926
2008/01/20,1.890937641
2008/01/21,1.799318814
2008/01/22,1.864689587
2008/01/23,1.763139991
2008/01/24,1.785962329
2008/01/25,1.744671772
2008/01/26,1.647391006
2008/01/27,1.697696221
2008/01/28,1.708264768
2008/01/29,1.811946045
2008/01/30,1.736772639
2008/01/31,1.648166459
2008/02/01,1.406800889
2008/02/02,1.464448555
2008/02/03,1.477936895
2008/02/04,6.921322013
2008/02/05,4.352519487
2008/02/06,3.058463326
2008/02/07,2.862140015
2008/02/08,2.337417793
2008/02/09,2.149997441
2008/02/10,2.180379565
2008/02/11,2.080013246
2008/02/12,2.159841601
2008/02/13,2.090121002
2008/02/14,1.923410034
2008/02/15,1.9261897
2008/02/16,1.850280033
2008/02/17,1.804326866
2008/02/18,1.791449235
2008/02/19,1.815164736
2008/02/20,1.951745428
2008/02/21,2.168601025
2008/02/22,1.792157006
2008/02/23,1.846027303
2008/02/24,1.834019701
2008/02/25,1.95172977
2008/02/26,2.183870395
2008/02/27,2.223339145
2008/02/28,2.138185257
2008/02/29,2.115576758
2008/03/01,2.309628291
2008/03/02,2.127827819
2008/03/03,2.08282886
2008/03/04,2.088871844
2008/03/05,1.735864733
2008/03/06,1.642753362
2008/03/07,1.772920503
2008/03/08,1.869043293
2008/03/09,1.887544976
2008/03/10,1.999198961
2008/03/11,1.945865896
2008/03/12,2.082447708
2008/03/13,1.873380804
2008/03/14,1.862207836
2008/03/15,2.00426613
2008/03/16,2.080469247
2008/03/17,1.915052143
2008/03/18,1.865760789
2008/03/19,2.406861843
2008/03/20,2.417728368
2008/03/21,2.024273837
2008/03/22,1.969925881
2008/03/23,2.074488641
2008/03/24,1.897460917
2008/03/25,2.007833948
2008/03/26,2.134060394
2008/03/27,2.370012286
2008/03/28,2.003784626
2008/03/29,2.092098947
2008/03/30,2.279074806
2008/03/31,9.724670018
2008/04/01,6.066931482
2008/04/02,4.484213985
2008/04/03,4.14816999
2008/04/04,3.681391651
2008/04/05,3.303112139
2008/04/06,3.379430438
2008/04/07,3.200246669
2008/04/08,3.154383037
2008/04/09,3.231676562
2008/04/10,3.81845862
2008/04/11,4.75108223
2008/04/12,6.036185441
2008/04/13,5.043422145
2008/04/14,4.592899514
2008/04/15,4.104282104
2008/04/16,3.668664668
2008/04/17,3.863115017
2008/04/18,5.570500672
2008/04/19,9.135748118
2008/04/20,10.640537426
2008/04/21,17.687761759
2008/04/22,14.355009926
2008/04/23,11.298913387
2008/04/24,11.448952666
2008/04/25,11.041184225
2008/04/26,10.498385682
2008/04/27,10.423353972
